Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
CF01-CM01-Zygote_R1_001	4232230.0	1672015.0	5.0	562060.0	3117889.0	2668090.0	26181125.0	13.190528892139938	2.6	3.8	18.0	971605.0	974626.0	1142028.0	1143966.0	118915438.0	32085370.0	21440246.0	78943420.0	12183733.0
CF01-CM02-Larvae_R1_001	47266701.0	19684124.0	72.0	8395031.0	34925162.0	49150385.0	67208331.0	35.231811535844784	2.2	3.1	18.0	12143198.0	12129661.0	11511615.0	11482155.0	1771255630.0	134159156.0	380634077.0	1074220466.0	223930509.0
CF02-CM02-Zygote_R1_001	28344779.0	11848910.0	42.0	6238333.0	35965711.0	15992068.0	167753891.0	13.630732802949666	5.2	7.6	20.5	5572591.0	5553562.0	8634566.0	8584018.0	671751469.0	207947580.0	113759888.0	437932297.0	61863172.0
CF03-CM03-Zygote_R1_001	32406119.0	13064469.0	22.0	5617169.0	30119527.0	24525893.0	86434679.0	24.56772177262641	3.1	4.9	20.6	7074390.0	7059721.0	9155639.0	9116347.0	913610847.0	131905267.0	176142092.0	582742571.0	94463595.0
CF03-CM04-Larvae_R1_001	55936629.0	22478693.0	31.0	8132287.0	29676804.0	61866035.0	44195538.0	45.6212679692484	1.7	2.1	18.6	14631755.0	14622114.0	13365472.0	13317257.0	2238003045.0	122610860.0	469933001.0	1398265296.0	270129622.0
CF03-CM05-Larvae_R1_001	38253850.0	14398446.0	28.0	11557139.0	42165956.0	45560778.0	61987067.0	33.36886126975426	3.4	4.3	19.4	9774279.0	9722903.0	9396871.0	9359769.0	1552465266.0	114639363.0	326079297.0	937772843.0	189329253.0
CF04-CM04-Zygote_R1_001	32682901.0	12315102.0	39.0	5919122.0	28554690.0	26836356.0	84478802.0	25.24228258490005	2.8	4.1	19.2	6919178.0	6939040.0	9401513.0	9423131.0	1052320771.0	129476805.0	205379824.0	672438408.0	113192371.0
CF05-CM02-Larvae_R1_001	58761317.0	23432778.0	82.0	8318037.0	34366183.0	61688308.0	82780086.0	35.618492932539546	1.6	2.3	17.4	15579544.0	15541468.0	13850641.0	13789582.0	2337459015.0	164974181.0	498126240.0	1441976132.0	292984115.0
CF05-CM05-Zygote_R1_001	36853824.0	14026817.0	69.0	8874391.0	37957457.0	37227115.0	95143851.0	25.238111425855873	3.4	4.7	21.0	8528584.0	8581903.0	9846052.0	9897216.0	1252973027.0	146024492.0	255374854.0	773408938.0	140130272.0
CF06-CM01-Zygote_R1_001	34754399.0	13593618.0	60.0	7747165.0	37244986.0	28037772.0	100017007.0	23.424927292836887	4.0	5.6	21.7	7849305.0	7783662.0	9598372.0	9523000.0	984629170.0	148365024.0	185411768.0	625188696.0	100998783.0
CF06-CM02-Larvae_R1_001	24333652.0	8779190.0	10.0	9997804.0	42244001.0	28354876.0	80016444.0	21.509595667385366	5.8	7.7	24.4	5956795.0	5906395.0	6262609.0	6207843.0	837836621.0	113129286.0	163824422.0	505747579.0	87667939.0
CF07-CM02-Zygote_R1_001	23980539.0	10020892.0	66.0	3111019.0	21465378.0	17121451.0	179415328.0	11.236483541576039	2.2	4.4	18.4	5264622.0	5376761.0	6620740.0	6718350.0	724068901.0	213416759.0	139844559.0	466671157.0	75855337.0
CF08-CM03-Zygote_R1_001	27270023.0	11040091.0	30.0	4596366.0	27966021.0	15769913.0	108690029.0	18.551018008193367	3.7	5.8	19.6	5527808.0	5517413.0	8127345.0	8097427.0	686635733.0	147000143.0	118811730.0	454612028.0	64879675.0
CF08-CM04-Larvae_R1_001	578096.0	257938.0	0.0	102279.0	1773097.0	440333.0	53163382.0	1.0705597260533337	3.0	12.6	18.8	131526.0	134587.0	155502.0	156481.0	19838721.0	53999416.0	3354118.0	12268400.0	1900494.0
CF08-CM05-Larvae_R1_001	1716695.0	550751.0	0.0	237171.0	1750182.0	1506054.0	78416271.0	2.1276845735800696	1.7	3.4	16.0	418486.0	418914.0	440180.0	439115.0	73983804.0	80683717.0	13552439.0	49047177.0	7890781.0
EF01-EM01-Zygote_R1_001	27576783.0	9791869.0	47.0	9706738.0	41506141.0	29460680.0	86185936.0	22.3195135416582	5.2	6.9	24.2	6702209.0	6709150.0	7087194.0	7078183.0	909304877.0	123554588.0	175658644.0	560746739.0	92225935.0
EF02-EM02-Zygote_R1_001	33068786.0	15699658.0	58.0	4608455.0	21726525.0	24195692.0	95502188.0	22.921356579348735	2.0	3.2	15.4	7168801.0	7241324.0	9287771.0	9370832.0	1069984067.0	144270632.0	221787521.0	664814825.0	132851049.0
EF03-EM03-Zygote_R1_001	22016467.0	9450634.0	21.0	5077870.0	25138967.0	15352387.0	103804735.0	16.27572128170124	4.6	6.3	21.4	4822688.0	4793827.0	6221282.0	6178649.0	581355521.0	135271836.0	104518461.0	375034343.0	56233493.0
EF03-EM04-Larvae_R1_001	40445897.0	15629829.0	33.0	16714377.0	61901138.0	46571077.0	77039566.0	30.384110189233553	5.3	6.5	22.1	9125385.0	9093581.0	11137392.0	11089506.0	1485144673.0	133115292.0	298094084.0	897344684.0	164519313.0
EF03-EM05-Larvae_R1_001	38448483.0	13769036.0	24.0	11647536.0	44584075.0	42838919.0	85109571.0	27.997741013808707	3.8	4.7	20.1	9686749.0	9632776.0	9586451.0	9542483.0	1464329898.0	137327090.0	297885534.0	897273664.0	170100170.0
EF04-EM04-Zygote_R1_001	13417319.0	6583201.0	35.0	3328425.0	14030674.0	8045456.0	137236169.0	8.533198635338856	5.2	6.2	17.8	3459430.0	3408888.0	3293297.0	3255669.0	336000810.0	157236689.0	61103822.0	212246650.0	37245783.0
EF04-EM05-Larvae_R1_001	50570557.0	18837107.0	59.0	7385773.0	28959741.0	54639895.0	71629128.0	35.85628706018781	1.6	2.1	17.2	13372715.0	13346218.0	11939872.0	11911693.0	2122638215.0	141036792.0	446941021.0	1321302244.0	263409541.0
EF05-EM01-Larvae_R1_001	30408684.0	11804766.0	20.0	6119258.0	23280204.0	36033631.0	64271971.0	28.556664108976946	2.3	3.0	19.1	7815962.0	7788869.0	7417446.0	7386387.0	1229090290.0	106485421.0	260564146.0	750629078.0	152463973.0
EF05-EM05-Zygote_R1_001	8664305.0	4568974.0	16.0	893353.0	5515515.0	3391868.0	108244447.0	7.1324227784771015	2.4	4.1	13.1	2073793.0	2069633.0	2263724.0	2257139.0	198057902.0	121477726.0	36063675.0	129776103.0	22417388.0
EF05-EM06-Larvae_R1_001	67541240.0	20596943.0	24.0	29856687.0	118081782.0	84390281.0	110632680.0	33.97944697759852	4.9	5.9	19.8	17635168.0	17630936.0	16158213.0	16116899.0	3040036603.0	198770863.0	574268764.0	1892055027.0	341384062.0
EF06-EM01-Larvae_R1_001	48203619.0	17579916.0	73.0	7529440.0	29934165.0	50372264.0	76956067.0	33.77031904572635	1.8	2.3	17.2	12767680.0	12731817.0	11363088.0	11340961.0	2005229648.0	142739602.0	411143204.0	1262956759.0	243293816.0
EF06-EM02-Larvae_R1_001	40534763.0	15103207.0	28.0	9899452.0	35751579.0	47768950.0	60484651.0	34.906861945529116	2.9	3.6	20.1	10385166.0	10349734.0	9911840.0	9887995.0	1569922012.0	116122621.0	334323556.0	952419402.0	189759073.0
EF06-EM06-Larvae_R1_001	40071766.0	14293140.0	100.0	10973200.0	49783278.0	33494768.0	106741610.0	24.87284002839463	4.6	6.0	21.4	10082516.0	10082258.0	9958156.0	9948736.0	1219420310.0	161106516.0	228320206.0	774183368.0	122665490.0
EF07-EM01-Zygote_R1_001	24652946.0	11091952.0	62.0	2507030.0	16544176.0	13309636.0	205604719.0	10.214619897242265	2.0	3.7	15.8	5051789.0	5073321.0	7245230.0	7282544.0	661386977.0	241349617.0	122649064.0	435636366.0	70740705.0
EF07-EM03-Larvae_R1_001	42354596.0	16124347.0	38.0	6342424.0	26467737.0	44052670.0	71124593.0	32.68012378921513	1.8	2.4	17.9	11066736.0	11026738.0	10144822.0	10116262.0	1695965684.0	129603536.0	353894882.0	1063527407.0	201680564.0
EF08-EM03-Larvae_R1_001	61963667.0	26330264.0	55.0	8433609.0	32762662.0	69435887.0	75229296.0	37.89288417112757	1.6	2.2	19.2	16496403.0	16429868.0	14548924.0	14488417.0	2343285587.0	163523227.0	506215848.0	1434093564.0	292344017.0
EF08-EM04-Larvae_R1_001	41756913.0	17927883.0	40.0	8936372.0	35060607.0	44709855.0	58987470.0	35.18674953084657	2.7	3.8	19.8	10655435.0	10593035.0	10274242.0	10234161.0	1480457626.0	118672266.0	318930471.0	891462887.0	181357434.0
