Sample	Original bottom strand	Complementary to original bottom strand	Complementary to original top strand	Original top strand
CF01-CM01-Zygote_R1_001	1129784	956956	959612	1132284
CF01-CM02-Larvae_R1_001	11358657	11985108	11977584	11335548
CF02-CM02-Zygote_R1_001	8379897	5415702	5401679	8331198
CF03-CM03-Zygote_R1_001	7638042	5967990	5965132	7615651
CF03-CM04-Larvae_R1_001	13246877	14477284	14461985	13209394
CF03-CM05-Larvae_R1_001	9484760	9874019	9834936	9455383
CF04-CM04-Zygote_R1_001	9328286	6872161	6898748	9355832
CF05-CM02-Larvae_R1_001	13774689	15500083	15465903	13726616
CF05-CM05-Zygote_R1_001	9768182	8463149	8526579	9825416
CF06-CM01-Zygote_R1_001	9506132	7762367	7716771	9447542
CF06-CM02-Larvae_R1_001	6336327	6025507	5989298	6292719
CF07-CM02-Zygote_R1_001	6421842	5116623	5235388	6523414
CF08-CM03-Zygote_R1_001	7927594	5426981	5421793	7901322
CF08-CM04-Larvae_R1_001	143686	123651	125747	145132
CF08-CM05-Larvae_R1_001	435649	416403	417659	437728
EF01-EM01-Zygote_R1_001	7112712	6720160	6741822	7115215
EF02-EM02-Zygote_R1_001	9074586	6977351	7050972	9153439
EF03-EM03-Zygote_R1_001	6084266	4703312	4687480	6049554
EF03-EM04-Larvae_R1_001	11210837	9184357	9162108	11176927
EF03-EM05-Larvae_R1_001	9705559	9820751	9775906	9672122
EF04-EM04-Zygote_R1_001	3254443	3327067	3293198	3227099
EF04-EM05-Larvae_R1_001	12000811	13433026	13412856	11976429
EF05-EM01-Larvae_R1_001	7507181	7908834	7884382	7482449
EF05-EM05-Zygote_R1_001	2110203	1927805	1925046	2104266
EF05-EM06-Larvae_R1_001	16499768	18070671	18062442	16463519
EF06-EM01-Larvae_R1_001	11412108	12813486	12783896	11396476
EF06-EM02-Larvae_R1_001	9904590	10386605	10358077	9888905
EF06-EM06-Larvae_R1_001	9935116	10073982	10096952	9944090
EF07-EM01-Zygote_R1_001	6929516	4827905	4852195	6970090
EF07-EM03-Larvae_R1_001	10087530	11003713	10973939	10067430
EF08-EM03-Larvae_R1_001	14318411	16220168	16154480	14261534
EF08-EM04-Larvae_R1_001	10055685	10438849	10386358	10020258
