Sample	PE mapped uniquely	PE multimapped	PE neither mate aligned
CF01-CM01-Zygote-1-bismark	220688	257574	7499530
CF01-CM02-Larvae-2-bismark	2509616	3082843	27758351
CF02-CM02-Zygote-3-bismark	1951665	2239965	47319832
CF03-CM03-Zygote-4-bismark	1345324	1524886	29865216
CF03-CM04-Larvae-5-bismark	2897959	3565551	23490292
CF03-CM05-Larvae-6-bismark	2146310	2557406	23786311
EF05-EM01-Larvae-23-bismark	454239	560569	6049977
EF05-EM05-Zygote-24-bismark	137825	169236	7719408
EF05-EM06-Larvae-25-bismark	954669	1106293	11093373
EF06-EM01-Larvae-26-bismark	719650	905064	7806999
EF06-EM02-Larvae-27-bismark	579083	668387	6439396
EF06-EM06-Larvae-28-bismark	609912	636132	9455091
EF07-EM01-Zygote-7-bismark	1620441	1928755	55586335
EF07-EM03-Larvae-8-bismark	2199217	2672625	27143626
EF08-EM03-Larvae-9-bismark	3181755	3978161	33031009
EF08-EM04-Larvae-10-bismark	2255537	2763777	24345136
