Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	overall_alignment_rate	paired_aligned_mate_none_halved
CF01-CM01-Zygote-1-bismark	7977792	7977792	7499530	220688	257574	5.99	7499530
CF01-CM02-Larvae-2-bismark	33350810	33350810	27758351	2509616	3082843	16.77	27758351
CF02-CM02-Zygote-3-bismark	51511462	51511462	47319832	1951665	2239965	8.14	47319832
CF03-CM03-Zygote-4-bismark	32735426	32735426	29865216	1345324	1524886	8.77	29865216
CF03-CM04-Larvae-5-bismark	29953802	29953802	23490292	2897959	3565551	21.58	23490292
CF03-CM05-Larvae-6-bismark	28490027	28490027	23786311	2146310	2557406	16.51	23786311
EF05-EM01-Larvae-23-bismark	7064785	7064785	6049977	454239	560569	14.36	6049977
EF05-EM05-Zygote-24-bismark	8026469	8026469	7719408	137825	169236	3.83	7719408
EF05-EM06-Larvae-25-bismark	13154335	13154335	11093373	954669	1106293	15.67	11093373
EF06-EM01-Larvae-26-bismark	9431713	9431713	7806999	719650	905064	17.23	7806999
EF06-EM02-Larvae-27-bismark	7686866	7686866	6439396	579083	668387	16.23	6439396
EF06-EM06-Larvae-28-bismark	10701135	10701135	9455091	609912	636132	11.64	9455091
EF07-EM01-Zygote-7-bismark	59135531	59135531	55586335	1620441	1928755	6.0	55586335
EF07-EM03-Larvae-8-bismark	32015468	32015468	27143626	2199217	2672625	15.22	27143626
EF08-EM03-Larvae-9-bismark	40190925	40190925	33031009	3181755	3978161	17.81	33031009
EF08-EM04-Larvae-10-bismark	29364450	29364450	24345136	2255537	2763777	17.09	24345136
