Sample	aligned_reads	dedup_reads	dedup_reads_percent	dup_reads	dup_reads_percent
CF01-CM01-Zygote_R1_001	4178636.0	3158907.0	75.6	1019729.0	24.4
CF01-CM02-Larvae_R1_001	46656897.0	34616976.0	74.19	12039921.0	25.81
CF02-CM02-Zygote_R1_001	27528476.0	16359113.0	59.43	11169363.0	40.57
CF03-CM03-Zygote_R1_001	27186815.0	19968469.0	73.45	7218346.0	26.55
CF03-CM04-Larvae_R1_001	55395540.0	24258843.0	43.79	31136697.0	56.21
CF03-CM05-Larvae_R1_001	38649098.0	28976517.0	74.97	9672581.0	25.03
CF04-CM04-Zygote_R1_001	32455027.0	21968578.0	67.69	10486449.0	32.31
CF05-CM02-Larvae_R1_001	58467291.0	41919245.0	71.7	16548046.0	28.3
CF05-CM05-Zygote_R1_001	36583326.0	26264493.0	71.79	10318833.0	28.21
CF06-CM01-Zygote_R1_001	34432812.0	25438383.0	73.88	8994429.0	26.12
CF06-CM02-Larvae_R1_001	24643851.0	18004041.0	73.06	6639810.0	26.94
CF07-CM02-Zygote_R1_001	23297267.0	15006436.0	64.41	8290831.0	35.59
CF08-CM03-Zygote_R1_001	26677690.0	16701878.0	62.61	9975812.0	37.39
CF08-CM04-Larvae_R1_001	538216.0	325240.0	60.43	212976.0	39.57
CF08-CM05-Larvae_R1_001	1707439.0	253543.0	14.85	1453896.0	85.15
EF01-EM01-Zygote_R1_001	27689909.0	20360525.0	73.53	7329384.0	26.47
EF02-EM02-Zygote_R1_001	32256348.0	23663561.0	73.36	8592787.0	26.64
EF03-EM03-Zygote_R1_001	21524612.0	15217655.0	70.7	6306957.0	29.3
EF03-EM04-Larvae_R1_001	40734229.0	29438918.0	72.27	11295311.0	27.73
EF03-EM05-Larvae_R1_001	38974338.0	29386808.0	75.4	9587530.0	24.6
EF04-EM04-Zygote_R1_001	13101807.0	8869407.0	67.7	4232400.0	32.3
EF04-EM05-Larvae_R1_001	50823122.0	35830531.0	70.5	14992591.0	29.5
EF05-EM01-Larvae_R1_001	30782846.0	22068577.0	71.69	8714269.0	28.31
EF05-EM05-Zygote_R1_001	8067320.0	5584626.0	69.23	2482694.0	30.77
EF05-EM06-Larvae_R1_001	69096400.0	32201285.0	46.6	36895115.0	53.4
EF06-EM01-Larvae_R1_001	48405966.0	35455429.0	73.25	12950537.0	26.75
EF06-EM02-Larvae_R1_001	40538177.0	29141352.0	71.89	11396825.0	28.11
EF06-EM06-Larvae_R1_001	40050140.0	7628527.0	19.05	32421613.0	80.95
EF07-EM01-Zygote_R1_001	23579706.0	11017235.0	46.72	12562471.0	53.28
EF07-EM03-Larvae_R1_001	42132612.0	28139227.0	66.79	13993385.0	33.21
EF08-EM03-Larvae_R1_001	60954593.0	33629000.0	55.17	27325593.0	44.83
EF08-EM04-Larvae_R1_001	40901150.0	29717995.0	72.66	11183155.0	27.34
