Sample	Bismark_mqc-generalstats-bismark-dup_reads_percent	Bismark_mqc-generalstats-bismark-dedup_reads
CF01-CM01-Zygote_R1_001	24.39	3200047.0
CF01-CM02-Larvae_R1_001	25.91	35019365.0
CF02-CM02-Zygote_R1_001	41.2	16665771.0
CF03-CM03-Zygote_R1_001	26.76	23733886.0
CF03-CM04-Larvae_R1_001	56.97	24067245.0
CF03-CM05-Larvae_R1_001	24.93	28716187.0
CF04-CM04-Zygote_R1_001	32.66	22008831.0
CF05-CM02-Larvae_R1_001	28.34	42109381.0
CF05-CM05-Zygote_R1_001	28.32	26415892.0
CF06-CM01-Zygote_R1_001	26.17	25658238.0
CF06-CM02-Larvae_R1_001	26.8	17812990.0
CF07-CM02-Zygote_R1_001	36.18	15305039.0
CF08-CM03-Zygote_R1_001	37.82	16956422.0
CF08-CM04-Larvae_R1_001	41.9	335883.0
CF08-CM05-Larvae_R1_001	86.17	237435.0
EF01-EM01-Zygote_R1_001	26.4	20296990.0
EF02-EM02-Zygote_R1_001	26.82	24201019.0
EF03-EM03-Zygote_R1_001	29.8	15454967.0
EF03-EM04-Larvae_R1_001	27.8	29200157.0
EF03-EM05-Larvae_R1_001	24.48	29037209.0
EF04-EM04-Zygote_R1_001	33.23	8958722.0
EF04-EM05-Larvae_R1_001	29.53	35635083.0
EF05-EM01-Larvae_R1_001	28.21	21829324.0
EF05-EM05-Zygote_R1_001	31.33	5950148.0
EF05-EM06-Larvae_R1_001	53.85	31169770.0
EF06-EM01-Larvae_R1_001	26.77	35300079.0
EF06-EM02-Larvae_R1_001	28.12	29135931.0
EF06-EM06-Larvae_R1_001	81.42	7443527.0
EF07-EM01-Zygote_R1_001	54.19	11292660.0
EF07-EM03-Larvae_R1_001	33.49	28171549.0
EF08-EM03-Larvae_R1_001	45.55	33739937.0
EF08-EM04-Larvae_R1_001	27.52	30265558.0
