CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	151869	647980	18.99	799849
2	154715	660771	18.97	815486
3	151271	661823	18.60	813094
4	149326	638315	18.96	787641
5	153173	649549	19.08	802722
6	155793	661394	19.06	817187
7	154332	651195	19.16	805527
8	156111	653530	19.28	809641
9	156005	660243	19.11	816248
10	157591	657459	19.34	815050
11	157768	651544	19.49	809312
12	157071	657267	19.29	814338
13	157143	647428	19.53	804571
14	157867	648357	19.58	806224
15	156412	656378	19.24	812790
16	156369	654344	19.29	810713
17	158027	652436	19.50	810463
18	156516	654251	19.30	810767
19	157888	651659	19.50	809547
20	159354	653233	19.61	812587
21	157756	670486	19.05	828242
22	157431	648022	19.55	805453
23	159303	656538	19.53	815841
24	158178	659076	19.35	817254
25	157303	643247	19.65	800550
26	158674	645562	19.73	804236
27	158344	651014	19.56	809358
28	158974	645661	19.76	804635
29	160694	650209	19.82	810903
30	158229	645665	19.68	803894
31	156701	639310	19.69	796011
32	158045	640276	19.80	798321
33	158360	644717	19.72	803077
34	157355	639515	19.75	796870
35	157150	643028	19.64	800178
36	156094	637580	19.67	793674
37	153217	633196	19.48	786413
38	154488	625685	19.80	780173
39	153118	624944	19.68	778062
40	152759	622829	19.70	775588
41	152480	621590	19.70	774070
42	153346	625287	19.69	778633
43	150306	616978	19.59	767284
44	150248	615432	19.62	765680
45	149093	615130	19.51	764223
46	148148	601394	19.77	749542
47	147624	600433	19.73	748057
48	146137	597436	19.65	743573
49	145079	595903	19.58	740982
50	144803	592484	19.64	737287
51	144553	593815	19.58	738368
52	144232	584116	19.80	728348
53	142080	584064	19.57	726144
54	140605	580236	19.51	720841
55	138209	573100	19.43	711309
56	138356	560180	19.81	698536
57	136220	558713	19.60	694933
58	135308	548174	19.80	683482
59	133366	544202	19.68	677568
60	132073	540191	19.65	672264
61	130290	533812	19.62	664102
62	129731	527361	19.74	657092
63	127787	523234	19.63	651021
64	125459	515689	19.57	641148
65	125614	513099	19.67	638713
66	123729	508636	19.57	632365
67	122467	502057	19.61	624524
68	121772	499592	19.60	621364
69	120472	497521	19.49	617993
70	117101	485008	19.45	602109
71	116260	481219	19.46	597479
72	114885	474251	19.50	589136
73	113781	471654	19.44	585435
74	111952	463834	19.44	575786
75	110594	462054	19.31	572648
76	109711	450660	19.58	560371
77	107296	444758	19.44	552054
78	106271	442299	19.37	548570
79	102586	423726	19.49	526312
80	102128	421408	19.51	523536
81	100014	418961	19.27	518975
82	97954	408643	19.34	506597
83	96396	405374	19.21	501770
84	95289	397792	19.33	493081
85	93636	390200	19.35	483836
86	92690	387754	19.29	480444
87	90674	384126	19.10	474800
88	89018	373418	19.25	462436
89	88549	368117	19.39	456666
90	87055	363719	19.31	450774
91	85420	357175	19.30	442595
92	83035	351623	19.10	434658
93	82102	351031	18.96	433133
94	80714	341699	19.11	422413
95	79561	336443	19.13	416004
96	77684	332956	18.92	410640
97	76851	325224	19.11	402075
98	75869	320223	19.15	396092
99	74728	316109	19.12	390837
100	73109	309951	19.09	383060
101	71476	308457	18.81	379933
102	70351	304751	18.76	375102
103	68462	296613	18.75	365075
104	68069	294848	18.76	362917
105	66075	285240	18.81	351315
106	65244	281581	18.81	346825
107	64392	276902	18.87	341294
108	63372	270661	18.97	334033
109	62109	267164	18.86	329273
110	62263	261816	19.21	324079
111	59387	258312	18.69	317699
112	58381	252222	18.80	310603
113	56980	246742	18.76	303722
114	56243	241080	18.92	297323
115	54760	237321	18.75	292081
116	54066	233445	18.80	287511
117	53184	229452	18.82	282636
118	51787	224088	18.77	275875
119	50990	220421	18.79	271411
120	50095	217041	18.75	267136
121	49456	212868	18.85	262324
122	49053	209674	18.96	258727
123	47475	206273	18.71	253748
124	47301	201559	19.01	248860
125	45715	197906	18.76	243621
