CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	108045	270209	28.56	378254
2	113418	410135	21.66	523553
3	90896	542684	14.35	633580
4	87997	411663	17.61	499660
5	73905	485820	13.20	559725
6	58855	359492	14.07	418347
7	60277	329270	15.47	389547
8	69150	356158	16.26	425308
9	73823	356343	17.16	430166
10	75304	350785	17.67	426089
11	80772	358790	18.38	439562
12	87957	363349	19.49	451306
13	85879	364642	19.06	450521
14	85241	362668	19.03	447909
15	86093	363684	19.14	449777
16	86783	364441	19.23	451224
17	90404	372000	19.55	462404
18	85803	373469	18.68	459272
19	85187	359650	19.15	444837
20	87475	368632	19.18	456107
21	90195	372103	19.51	462298
22	90093	372326	19.48	462419
23	89645	373791	19.34	463436
24	90507	381116	19.19	471623
25	92425	380213	19.56	472638
26	91480	373039	19.69	464519
27	91316	378580	19.43	469896
28	90230	375717	19.36	465947
29	90864	374463	19.53	465327
30	90854	377339	19.41	468193
31	90891	377412	19.41	468303
32	90827	373417	19.56	464244
33	90811	375230	19.49	466041
34	91140	373263	19.63	464403
35	90848	374299	19.53	465147
36	91170	378160	19.43	469330
37	89862	373135	19.41	462997
38	90822	372656	19.60	463478
39	89014	374979	19.18	463993
40	89054	369005	19.44	458059
41	89887	367853	19.64	457740
42	88719	368897	19.39	457616
43	89590	365939	19.67	455529
44	90777	367652	19.80	458429
45	88777	366926	19.48	455703
46	87795	361777	19.53	449572
47	87634	358379	19.65	446013
48	87630	361920	19.49	449550
49	86785	356336	19.58	443121
50	86963	355189	19.67	442152
51	85498	354930	19.41	440428
52	83734	349420	19.33	433154
53	83734	346765	19.45	430499
54	82804	345390	19.34	428194
55	82355	341720	19.42	424075
56	82795	339899	19.59	422694
57	82772	341133	19.53	423905
58	80477	337240	19.27	417717
59	79734	333920	19.28	413654
60	78455	332680	19.08	411135
61	77856	326002	19.28	403858
62	77185	323510	19.26	400695
63	76024	321275	19.14	397299
64	75686	318601	19.20	394287
65	75560	314926	19.35	390486
66	74904	316163	19.15	391067
67	74887	311933	19.36	386820
68	72704	305466	19.23	378170
69	71691	303969	19.08	375660
70	70309	298043	19.09	368352
71	70210	294221	19.27	364431
72	69013	291685	19.13	360698
73	67534	286238	19.09	353772
74	66936	282033	19.18	348969
75	65987	280099	19.07	346086
76	65257	276436	19.10	341693
77	64139	269882	19.20	334021
78	62576	267460	18.96	330036
79	62379	263646	19.13	326025
80	61483	260004	19.12	321487
81	59989	256890	18.93	316879
82	59584	252142	19.11	311726
83	58813	248832	19.12	307645
84	57591	246089	18.96	303680
85	56588	240358	19.06	296946
86	55456	236418	19.00	291874
87	54417	234240	18.85	288657
88	54284	230653	19.05	284937
89	52527	228651	18.68	281178
90	52554	225444	18.90	277998
91	51291	219675	18.93	270966
92	50128	214264	18.96	264392
93	49209	212901	18.77	262110
94	47378	206299	18.68	253677
95	46818	201646	18.84	248464
96	46051	199869	18.73	245920
97	44587	196403	18.50	240990
98	44020	191853	18.66	235873
99	43186	189857	18.53	233043
100	42338	185826	18.56	228164
101	41505	182804	18.50	224309
102	40438	178868	18.44	219306
103	40032	175317	18.59	215349
104	39227	171416	18.62	210643
105	38610	169190	18.58	207800
106	37483	165786	18.44	203269
107	36575	161693	18.45	198268
108	35710	160182	18.23	195892
109	35556	156007	18.56	191563
110	34852	153403	18.51	188255
111	33982	150974	18.37	184956
112	33169	146790	18.43	179959
113	32781	145298	18.41	178079
114	32371	142022	18.56	174393
115	31556	139109	18.49	170665
116	30496	136661	18.24	167157
117	29764	133659	18.21	163423
118	29219	131215	18.21	160434
119	28796	128345	18.32	157141
120	28013	126384	18.14	154397
121	27352	122803	18.22	150155
122	27033	121771	18.17	148804
123	26521	118380	18.30	144901
124	26137	115244	18.49	141381
125	25999	114443	18.51	140442
126	24943	111155	18.33	136098
127	23948	108587	18.07	132535
128	23385	106491	18.01	129876
129	23029	103741	18.17	126770
130	22247	102084	17.89	124331
131	22114	100172	18.08	122286
132	21490	97816	18.01	119306
133	20831	95597	17.89	116428
134	20604	93406	18.07	114010
135	20204	92336	17.95	112540
136	19931	90117	18.11	110048
137	19602	88619	18.11	108221
138	18811	86250	17.90	105061
139	18518	85869	17.74	104387
140	18092	83622	17.79	101714
141	17312	80952	17.62	98264
142	16872	78817	17.63	95689
143	16903	77847	17.84	94750
144	16154	76659	17.40	92813
145	15932	74579	17.60	90511
146	15812	74770	17.46	90582
147	15815	73221	17.76	89036
148	14992	71303	17.37	86295
149	14457	68957	17.33	83414
150	14047	67498	17.23	81545

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	156063	1344766	10.40	1500829
2	86114	489230	14.97	575344
3	62097	675301	8.42	737398
4	53080	588392	8.27	641472
5	23738	767187	3.00	790925
6	21684	893073	2.37	914757
7	18629	639798	2.83	658427
8	17893	628682	2.77	646575
9	18308	645541	2.76	663849
10	17965	628246	2.78	646211
11	21004	633623	3.21	654627
12	16979	661811	2.50	678790
13	16536	666782	2.42	683318
14	15602	653638	2.33	669240
15	15998	649565	2.40	665563
16	16152	648053	2.43	664205
17	15231	668685	2.23	683916
18	15094	675449	2.19	690543
19	14781	657038	2.20	671819
20	14787	660648	2.19	675435
21	14801	666992	2.17	681793
22	14775	671042	2.15	685817
23	14711	670157	2.15	684868
24	14471	665691	2.13	680162
25	14730	676099	2.13	690829
26	14125	663773	2.08	677898
27	14483	665483	2.13	679966
28	14358	669755	2.10	684113
29	14403	671816	2.10	686219
30	14313	669648	2.09	683961
31	14420	668285	2.11	682705
32	13982	661729	2.07	675711
33	14396	676285	2.08	690681
34	14229	668342	2.08	682571
35	13886	667512	2.04	681398
36	14140	663860	2.09	678000
37	14438	677502	2.09	691940
38	14068	663573	2.08	677641
39	14492	670750	2.11	685242
40	14083	663126	2.08	677209
41	14438	667248	2.12	681686
42	13885	662797	2.05	676682
43	14361	664389	2.12	678750
44	14243	652975	2.13	667218
45	14379	660705	2.13	675084
46	14286	649982	2.15	664268
47	14216	642997	2.16	657213
48	14196	640302	2.17	654498
49	14393	647513	2.17	661906
50	14199	638271	2.18	652470
51	14478	637161	2.22	651639
52	14441	634176	2.23	648617
53	14497	633626	2.24	648123
54	13946	622694	2.19	636640
55	14287	622558	2.24	636845
56	14137	616947	2.24	631084
57	14352	617084	2.27	631436
58	14127	605555	2.28	619682
59	14217	601697	2.31	615914
60	14224	596659	2.33	610883
61	14578	599705	2.37	614283
62	14129	585808	2.36	599937
63	14099	583281	2.36	597380
64	13851	576994	2.34	590845
65	14049	574155	2.39	588204
66	13928	568446	2.39	582374
67	14089	567120	2.42	581209
68	13619	555377	2.39	568996
69	13770	552269	2.43	566039
70	13480	545379	2.41	558859
71	13461	535049	2.45	548510
72	13520	526635	2.50	540155
73	13267	524174	2.47	537441
74	13051	513758	2.48	526809
75	13045	509381	2.50	522426
76	12568	501790	2.44	514358
77	12984	493612	2.56	506596
78	12489	486668	2.50	499157
79	12464	480013	2.53	492477
80	12194	469251	2.53	481445
81	12303	466043	2.57	478346
82	11957	456407	2.55	468364
83	12088	447591	2.63	459679
84	11798	440234	2.61	452032
85	11528	437170	2.57	448698
86	11406	428082	2.60	439488
87	11256	422691	2.59	433947
88	11191	415195	2.62	426386
89	11185	410103	2.65	421288
90	11004	402326	2.66	413330
91	10793	395559	2.66	406352
92	10733	388459	2.69	399192
93	10502	384421	2.66	394923
94	10326	381849	2.63	392175
95	10194	365695	2.71	375889
96	9785	357870	2.66	367655
97	9595	353367	2.64	362962
98	9374	344074	2.65	353448
99	9452	338878	2.71	348330
100	9269	334591	2.70	343860
101	9116	328844	2.70	337960
102	9381	327818	2.78	337199
103	8883	314078	2.75	322961
104	8690	303465	2.78	312155
105	8519	298825	2.77	307344
106	8319	293654	2.75	301973
107	8202	287844	2.77	296046
108	8053	282491	2.77	290544
109	8061	277768	2.82	285829
110	7778	270665	2.79	278443
111	7678	266540	2.80	274218
112	7646	261447	2.84	269093
113	7470	255870	2.84	263340
114	7193	251550	2.78	258743
115	7131	246144	2.82	253275
116	6978	240127	2.82	247105
117	6796	236566	2.79	243362
118	6632	229788	2.81	236420
119	6801	225145	2.93	231946
120	6631	221004	2.91	227635
121	6423	216969	2.88	223392
122	6261	212471	2.86	218732
123	6185	208088	2.89	214273
124	6085	203446	2.90	209531
125	5981	198656	2.92	204637
126	5665	193579	2.84	199244
127	5693	192229	2.88	197922
128	5582	188874	2.87	194456
129	5553	184389	2.92	189942
130	5445	179560	2.94	185005
131	5256	175337	2.91	180593
132	5162	171778	2.92	176940
133	5148	168999	2.96	174147
134	4863	164824	2.87	169687
135	4901	161516	2.95	166417
136	4843	158544	2.96	163387
137	4659	156021	2.90	160680
138	4636	152347	2.95	156983
139	4456	148190	2.92	152646
140	4322	144403	2.91	148725
141	4192	142289	2.86	146481
142	4276	138384	3.00	142660
143	4069	134854	2.93	138923
144	3973	132456	2.91	136429
145	3971	130982	2.94	134953
146	3848	127364	2.93	131212
147	3718	125821	2.87	129539
148	3972	122130	3.15	126102
149	3889	120801	3.12	124690
150	3887	117870	3.19	121757

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	483415	1436756	25.18	1920171
2	396703	1807860	17.99	2204563
3	324388	1757674	15.58	2082062
4	295902	1706644	14.78	2002546
5	163003	2005059	7.52	2168062
6	136050	2198250	5.83	2334300
7	142782	2451459	5.50	2594241
8	128449	2443401	4.99	2571850
9	127537	2297372	5.26	2424909
10	114234	2281141	4.77	2395375
11	123924	2244913	5.23	2368837
12	108125	2245773	4.59	2353898
13	114137	2274460	4.78	2388597
14	104592	2259136	4.42	2363728
15	114070	2223384	4.88	2337454
16	103854	2200217	4.51	2304071
17	108640	2179299	4.75	2287939
18	98126	2193754	4.28	2291880
19	108431	2189752	4.72	2298183
20	100084	2209827	4.33	2309911
21	104941	2155432	4.64	2260373
22	97109	2170216	4.28	2267325
23	104829	2170942	4.61	2275771
24	94546	2163383	4.19	2257929
25	102319	2179738	4.48	2282057
26	94685	2182611	4.16	2277296
27	100717	2180933	4.41	2281650
28	92517	2216241	4.01	2308758
29	99230	2209076	4.30	2308306
30	90948	2217611	3.94	2308559
31	98081	2215268	4.24	2313349
32	90434	2202070	3.94	2292504
33	94346	2206530	4.10	2300876
34	87992	2210132	3.83	2298124
35	93630	2204395	4.07	2298025
36	85372	2210729	3.72	2296101
37	91061	2220198	3.94	2311259
38	85018	2220373	3.69	2305391
39	89915	2205898	3.92	2295813
40	82992	2207331	3.62	2290323
41	87719	2234744	3.78	2322463
42	80518	2214384	3.51	2294902
43	86982	2213881	3.78	2300863
44	80675	2218154	3.51	2298829
45	84064	2216050	3.65	2300114
46	79541	2213881	3.47	2293422
47	84155	2209053	3.67	2293208
48	78385	2195099	3.45	2273484
49	81275	2193370	3.57	2274645
50	77613	2195734	3.41	2273347
51	80674	2182272	3.56	2262946
52	75363	2168207	3.36	2243570
53	77902	2158173	3.48	2236075
54	74138	2139872	3.35	2214010
55	76144	2120651	3.47	2196795
56	72933	2118435	3.33	2191368
57	73981	2098040	3.41	2172021
58	71336	2098286	3.29	2169622
59	74268	2081708	3.44	2155976
60	68477	2041080	3.25	2109557
61	69299	2021945	3.31	2091244
62	67418	2026784	3.22	2094202
63	68684	1977719	3.36	2046403
64	65756	1958401	3.25	2024157
65	66404	1939386	3.31	2005790
66	63316	1926445	3.18	1989761
67	65604	1920686	3.30	1986290
68	61871	1885685	3.18	1947556
69	62270	1884603	3.20	1946873
70	60562	1852154	3.17	1912716
71	61355	1822480	3.26	1883835
72	58195	1799065	3.13	1857260
73	58909	1788824	3.19	1847733
74	57663	1775375	3.15	1833038
75	57291	1733484	3.20	1790775
76	55136	1707679	3.13	1762815
77	55120	1692240	3.15	1747360
78	54441	1688038	3.12	1742479
79	54257	1657089	3.17	1711346
80	51849	1620034	3.10	1671883
81	51742	1597783	3.14	1649525
82	50712	1584056	3.10	1634768
83	50141	1541896	3.15	1592037
84	48475	1515067	3.10	1563542
85	48389	1488488	3.15	1536877
86	46835	1471593	3.08	1518428
87	47047	1447491	3.15	1494538
88	46205	1435997	3.12	1482202
89	45788	1411755	3.14	1457543
90	44760	1375097	3.15	1419857
91	44208	1353974	3.16	1398182
92	43031	1334385	3.12	1377416
93	42151	1308241	3.12	1350392
94	41596	1291122	3.12	1332718
95	41422	1270666	3.16	1312088
96	40256	1255832	3.11	1296088
97	39625	1233900	3.11	1273525
98	38815	1201593	3.13	1240408
99	38602	1176162	3.18	1214764
100	37874	1155348	3.17	1193222
101	37544	1136522	3.20	1174066
102	36377	1121370	3.14	1157747
103	36453	1107523	3.19	1143976
104	35581	1079539	3.19	1115120
105	34873	1065938	3.17	1100811
106	33996	1034996	3.18	1068992
107	33928	1015585	3.23	1049513
108	32923	1001125	3.18	1034048
109	32676	975701	3.24	1008377
110	31752	960981	3.20	992733
111	31965	950739	3.25	982704
112	30353	924429	3.18	954782
113	30058	903254	3.22	933312
114	29967	884993	3.28	914960
115	29501	868982	3.28	898483
116	28363	849325	3.23	877688
117	27965	831180	3.25	859145
118	27229	814503	3.23	841732
119	27381	800468	3.31	827849
120	26353	782073	3.26	808426
121	25586	766486	3.23	792072
122	25441	749901	3.28	775342
123	24851	731796	3.28	756647
124	24325	718244	3.28	742569
125	24176	704080	3.32	728256
126	23405	689349	3.28	712754
127	23134	675324	3.31	698458
128	22423	660744	3.28	683167
129	22046	648120	3.29	670166
130	21641	634886	3.30	656527
131	21074	625079	3.26	646153
132	20765	609104	3.30	629869
133	20510	596210	3.33	616720
134	19941	585127	3.30	605068
135	19628	574398	3.30	594026
136	19091	562016	3.29	581107
137	18772	551362	3.29	570134
138	18382	539386	3.30	557768
139	17954	527893	3.29	545847
140	17484	513392	3.29	530876
141	17309	502814	3.33	520123
142	16894	493235	3.31	510129
143	16640	482102	3.34	498742
144	16223	474284	3.31	490507
145	16046	465471	3.33	481517
146	15685	458413	3.31	474098
147	15526	451025	3.33	466551
148	15859	442079	3.46	457938
149	16085	431719	3.59	447804
150	15759	421913	3.60	437672

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	15653	49986	23.85	65639
2	16316	77868	17.32	94184
3	12884	100436	11.37	113320
4	12955	73649	14.96	86604
5	11158	89798	11.05	100956
6	8518	60308	12.38	68826
7	8432	54124	13.48	62556
8	9572	55472	14.72	65044
9	9684	53858	15.24	63542
10	9855	51741	16.00	61596
11	10505	52436	16.69	62941
12	11675	51463	18.49	63138
13	10534	50290	17.32	60824
14	10220	48512	17.40	58732
15	10033	46666	17.70	56699
16	9844	46346	17.52	56190
17	11060	47855	18.77	58915
18	9461	45035	17.36	54496
19	9135	42527	17.68	51662
20	9182	41884	17.98	51066
21	9239	42325	17.92	51564
22	9064	40462	18.30	49526
23	8605	39185	18.01	47790
24	8468	39454	17.67	47922
25	8819	39190	18.37	48009
26	8448	37006	18.59	45454
27	8044	37048	17.84	45092
28	8004	35781	18.28	43785
29	7735	35274	17.98	43009
30	7518	34399	17.94	41917
31	7388	33579	18.03	40967
32	7153	32563	18.01	39716
33	6948	31942	17.87	38890
34	6724	31107	17.77	37831
35	6865	30610	18.32	37475
36	6542	30625	17.60	37167
37	6299	29221	17.73	35520
38	6229	28448	17.96	34677
39	6149	27853	18.08	34002
40	5859	26931	17.87	32790
41	5988	25577	18.97	31565
42	5763	25621	18.36	31384
43	5609	25336	18.13	30945
44	5715	24466	18.94	30181
45	5341	24289	18.03	29630
46	5305	23426	18.46	28731
47	5027	22592	18.20	27619
48	4935	22417	18.04	27352
49	4925	21650	18.53	26575
50	4874	21378	18.57	26252
51	4577	20732	18.08	25309
52	4478	19866	18.39	24344
53	4388	19621	18.28	24009
54	4158	19174	17.82	23332
55	4070	18470	18.06	22540
56	4039	18006	18.32	22045
57	4169	18090	18.73	22259
58	3870	17615	18.01	21485
59	3855	17020	18.47	20875
60	3652	16998	17.69	20650
61	3568	15997	18.24	19565
62	3485	15786	18.08	19271
63	3291	15318	17.68	18609
64	3243	15061	17.72	18304
65	3314	14627	18.47	17941
66	3164	14695	17.72	17859
67	3210	14172	18.47	17382
68	3054	13568	18.37	16622
69	2841	13388	17.51	16229
70	3000	12938	18.82	15938
71	2793	12678	18.05	15471
72	2757	12599	17.95	15356
73	2716	12337	18.04	15053
74	2701	11558	18.94	14259
75	2656	11656	18.56	14312
76	2578	11245	18.65	13823
77	2463	11133	18.12	13596
78	2371	10579	18.31	12950
79	2224	10428	17.58	12652
80	2295	10219	18.34	12514
81	2268	10058	18.40	12326
82	2135	9671	18.08	11806
83	2225	9582	18.84	11807
84	2114	9475	18.24	11589
85	2002	9168	17.92	11170
86	1949	8783	18.16	10732
87	1852	8695	17.56	10547
88	1901	8508	18.26	10409
89	1894	8284	18.61	10178
90	1790	8313	17.72	10103
91	1814	7995	18.49	9809
92	1753	7727	18.49	9480
93	1694	7655	18.12	9349
94	1654	7234	18.61	8888
95	1473	7159	17.06	8632
96	1555	7199	17.76	8754
97	1448	6878	17.39	8326
98	1535	6605	18.86	8140
99	1427	6512	17.97	7939
100	1382	6337	17.90	7719
101	1390	6291	18.10	7681
102	1325	6156	17.71	7481
103	1225	5794	17.45	7019
104	1159	5702	16.89	6861
105	1267	5706	18.17	6973
106	1290	5654	18.58	6944
107	1162	5255	18.11	6417
108	1071	5262	16.91	6333
109	1121	5093	18.04	6214
110	1044	4924	17.49	5968
111	1053	4905	17.67	5958
112	1087	4654	18.93	5741
113	1005	4772	17.40	5777
114	1029	4545	18.46	5574
115	1056	4413	19.31	5469
116	946	4384	17.75	5330
117	940	4236	18.16	5176
118	891	4073	17.95	4964
119	870	4076	17.59	4946
120	858	3970	17.77	4828
121	836	3939	17.51	4775
122	831	3769	18.07	4600
123	785	3607	17.87	4392
124	829	3627	18.60	4456
125	858	3653	19.02	4511
126	766	3444	18.19	4210
127	713	3378	17.43	4091
128	706	3312	17.57	4018
129	682	3209	17.53	3891
130	642	3083	17.23	3725
131	596	3003	16.56	3599
132	638	2887	18.10	3525
133	650	2886	18.38	3536
134	624	2833	18.05	3457
135	620	2770	18.29	3390
136	552	2696	17.00	3248
137	575	2701	17.55	3276
138	510	2629	16.25	3139
139	581	2565	18.47	3146
140	493	2607	15.90	3100
141	480	2407	16.63	2887
142	451	2299	16.40	2750
143	484	2304	17.36	2788
144	440	2316	15.97	2756
145	428	2236	16.07	2664
146	452	2251	16.72	2703
147	473	2229	17.51	2702
148	437	2144	16.93	2581
149	432	1982	17.90	2414
150	374	1996	15.78	2370

CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	26034	288448	8.28	314482
2	11045	87583	11.20	98628
3	9122	106345	7.90	115467
4	8381	100470	7.70	108851
5	3611	131962	2.66	135573
6	3372	154031	2.14	157403
7	2793	100066	2.72	102859
8	2826	93376	2.94	96202
9	2721	94413	2.80	97134
10	2974	88681	3.24	91655
11	3699	85736	4.14	89435
12	2396	87405	2.67	89801
13	2419	85067	2.77	87486
14	2232	80599	2.69	82831
15	2195	80068	2.67	82263
16	2233	76822	2.82	79055
17	2017	78118	2.52	80135
18	1967	79975	2.40	81942
19	1863	72949	2.49	74812
20	1771	72032	2.40	73803
21	1758	70713	2.43	72471
22	1673	69835	2.34	71508
23	1625	67317	2.36	68942
24	1644	65068	2.46	66712
25	1530	65575	2.28	67105
26	1459	63373	2.25	64832
27	1417	61911	2.24	63328
28	1415	61571	2.25	62986
29	1425	60745	2.29	62170
30	1309	59183	2.16	60492
31	1269	56157	2.21	57426
32	1193	54695	2.13	55888
33	1273	55659	2.24	56932
34	1151	53529	2.10	54680
35	1044	52611	1.95	53655
36	1046	50197	2.04	51243
37	1130	51717	2.14	52847
38	1008	48406	2.04	49414
39	1065	48338	2.16	49403
40	1004	46098	2.13	47102
41	936	45604	2.01	46540
42	922	44214	2.04	45136
43	944	44093	2.10	45037
44	906	41562	2.13	42468
45	904	41593	2.13	42497
46	862	39897	2.11	40759
47	749	38543	1.91	39292
48	787	37740	2.04	38527
49	861	37340	2.25	38201
50	781	36161	2.11	36942
51	837	35958	2.27	36795
52	766	34818	2.15	35584
53	739	33819	2.14	34558
54	733	32289	2.22	33022
55	710	32056	2.17	32766
56	757	31046	2.38	31803
57	670	31015	2.11	31685
58	647	29631	2.14	30278
59	614	28910	2.08	29524
60	590	28693	2.01	29283
61	585	28337	2.02	28922
62	615	27006	2.23	27621
63	609	26540	2.24	27149
64	561	25758	2.13	26319
65	596	25404	2.29	26000
66	538	24670	2.13	25208
67	554	24548	2.21	25102
68	531	23357	2.22	23888
69	514	23202	2.17	23716
70	509	22324	2.23	22833
71	509	21730	2.29	22239
72	450	21450	2.05	21900
73	488	21217	2.25	21705
74	437	20327	2.10	20764
75	496	19866	2.44	20362
76	431	19478	2.16	19909
77	485	19220	2.46	19705
78	425	18196	2.28	18621
79	426	18264	2.28	18690
80	353	17378	1.99	17731
81	386	17212	2.19	17598
82	360	16526	2.13	16886
83	351	16338	2.10	16689
84	371	15745	2.30	16116
85	346	15584	2.17	15930
86	398	14936	2.60	15334
87	310	14744	2.06	15054
88	336	14395	2.28	14731
89	323	14193	2.23	14516
90	324	13887	2.28	14211
91	324	13728	2.31	14052
92	302	13279	2.22	13581
93	309	12898	2.34	13207
94	308	13271	2.27	13579
95	266	12002	2.17	12268
96	261	11659	2.19	11920
97	273	11736	2.27	12009
98	268	11463	2.28	11731
99	251	10791	2.27	11042
100	278	10655	2.54	10933
101	244	10653	2.24	10897
102	256	10727	2.33	10983
103	222	9859	2.20	10081
104	211	9592	2.15	9803
105	226	9466	2.33	9692
106	191	9098	2.06	9289
107	206	8738	2.30	8944
108	203	8536	2.32	8739
109	209	8300	2.46	8509
110	196	8218	2.33	8414
111	185	8222	2.20	8407
112	193	7972	2.36	8165
113	170	7938	2.10	8108
114	176	7587	2.27	7763
115	200	7357	2.65	7557
116	177	7143	2.42	7320
117	180	7069	2.48	7249
118	147	6674	2.16	6821
119	172	6639	2.53	6811
120	173	6560	2.57	6733
121	143	6390	2.19	6533
122	141	6114	2.25	6255
