CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	208206	756229	21.59	964435
2	219786	1150084	16.04	1369870
3	184013	1495471	10.96	1679484
4	202002	1113692	15.35	1315694
5	168765	1392375	10.81	1561140
6	130232	982698	11.70	1112930
7	127466	876806	12.69	1004272
8	144901	949638	13.24	1094539
9	152781	955078	13.79	1107859
10	165113	913729	15.30	1078842
11	187403	965228	16.26	1152631
12	220084	969018	18.51	1189102
13	220995	965535	18.63	1186530
14	200060	973314	17.05	1173374
15	201646	959388	17.37	1161034
16	203458	965994	17.40	1169452
17	210687	975535	17.76	1186222
18	202774	986727	17.05	1189501
19	198467	935936	17.50	1134403
20	204604	957316	17.61	1161920
21	207560	977440	17.52	1185000
22	206976	972505	17.55	1179481
23	207621	967276	17.67	1174897
24	210622	983655	17.64	1194277
25	211839	981115	17.76	1192954
26	214598	969166	18.13	1183764
27	213588	982110	17.86	1195698
28	211352	965129	17.96	1176481
29	211706	960578	18.06	1172284
30	211313	973018	17.84	1184331
31	211208	973398	17.83	1184606
32	211279	965916	17.95	1177195
33	210405	969193	17.84	1179598
34	211741	963742	18.01	1175483
35	213250	965031	18.10	1178281
36	213098	1000522	17.56	1213620
37	210560	955697	18.05	1166257
38	214608	972988	18.07	1187596
39	211878	977400	17.82	1189278
40	209445	948665	18.09	1158110
41	214718	951338	18.41	1166056
42	212581	962168	18.10	1174749
43	211320	946818	18.25	1158138
44	215453	957678	18.37	1173131
45	211074	950797	18.17	1161871
46	208343	938640	18.16	1146983
47	208304	937020	18.19	1145324
48	209468	948300	18.09	1157768
49	208710	938661	18.19	1147371
50	209278	944832	18.13	1154110
51	204705	936667	17.93	1141372
52	201246	927871	17.82	1129117
53	201579	911544	18.11	1113123
54	199795	913030	17.95	1112825
55	199307	908888	17.98	1108195
56	199265	903909	18.06	1103174
57	199995	915301	17.93	1115296
58	195721	896702	17.92	1092423
59	195717	894173	17.96	1089890
60	193095	895307	17.74	1088402
61	190562	870200	17.96	1060762
62	188848	862558	17.96	1051406
63	187299	859151	17.90	1046450
64	185473	855847	17.81	1041320
65	185740	847878	17.97	1033618
66	183584	853284	17.71	1036868
67	184339	837642	18.04	1021981
68	178428	834355	17.62	1012783
69	177872	831858	17.62	1009730
70	174360	815250	17.62	989610
71	173819	795892	17.92	969711
72	170104	792897	17.66	963001
73	168574	777906	17.81	946480
74	167304	767406	17.90	934710
75	164356	762678	17.73	927034
76	161939	750472	17.75	912411
77	161728	743713	17.86	905441
78	157878	736003	17.66	893881
79	154896	724521	17.61	879417
80	155425	721019	17.73	876444
81	153633	716179	17.66	869812
82	150840	701325	17.70	852165
83	149766	696518	17.70	846284
84	146408	696769	17.36	843177
85	143482	676843	17.49	820325
86	141468	673108	17.37	814576
87	139215	657944	17.46	797159
88	139104	655518	17.51	794622
89	135321	643955	17.36	779276
90	133509	639740	17.27	773249
91	132993	622294	17.61	755287
92	129251	611461	17.45	740712
93	128072	609091	17.37	737163
94	122695	581586	17.42	704281
95	120332	577258	17.25	697590
96	119122	573544	17.20	692666
97	115686	558523	17.16	674209
98	114455	549844	17.23	664299
99	112551	540934	17.22	653485
100	110616	530251	17.26	640867
101	110198	526567	17.31	636765
102	107252	523714	17.00	630966
103	104630	505716	17.14	610346
104	103412	497661	17.20	601073
105	102249	490049	17.26	592298
106	99541	481050	17.14	580591
107	96559	471235	17.01	567794
108	95415	473615	16.77	569030
109	93749	459947	16.93	553696
110	91373	452007	16.82	543380
111	90406	447684	16.80	538090
112	88207	435381	16.85	523588
113	87055	430277	16.83	517332
114	87507	423624	17.12	511131
115	84767	412932	17.03	497699
116	82569	410294	16.75	492863
117	79706	405437	16.43	485143
118	77751	393800	16.49	471551
119	77096	393147	16.39	470243
120	76008	379383	16.69	455391
121	73552	370439	16.57	443991
122	73007	364341	16.69	437348
