CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	56881	243647	18.93	300528
2	58056	246517	19.06	304573
3	56903	248352	18.64	305255
4	55976	242403	18.76	298379
5	57921	249042	18.87	306963
6	58463	252614	18.79	311077
7	58761	251335	18.95	310096
8	58253	250992	18.84	309245
9	59062	253929	18.87	312991
10	59032	252178	18.97	311210
11	58946	248701	19.16	307647
12	58816	252335	18.90	311151
13	58564	250004	18.98	308568
14	58970	250679	19.04	309649
15	58789	252318	18.90	311107
16	58841	253510	18.84	312351
17	58221	250205	18.88	308426
18	58471	251242	18.88	309713
19	58874	249898	19.07	308772
20	58703	249205	19.07	307908
21	57795	252835	18.61	310630
22	57791	248215	18.89	306006
23	57932	248241	18.92	306173
24	56946	248368	18.65	305314
25	56558	245402	18.73	301960
26	56996	243834	18.95	300830
27	56449	245511	18.69	301960
28	56482	243562	18.82	300044
29	57506	243952	19.08	301458
30	56269	243320	18.78	299589
31	55610	239827	18.82	295437
32	55205	238210	18.81	293415
33	54980	237886	18.77	292866
34	54372	234818	18.80	289190
35	54698	233402	18.99	288100
36	53058	232140	18.60	285198
37	52163	229297	18.53	281460
38	52087	225356	18.77	277443
39	51360	226455	18.49	277815
40	50453	222392	18.49	272845
41	50770	220420	18.72	271190
42	50432	220424	18.62	270856
43	49267	217803	18.45	267070
44	48755	214346	18.53	263101
45	47854	213736	18.29	261590
46	47366	208931	18.48	256297
47	46692	206053	18.47	252745
48	45931	203818	18.39	249749
49	45747	200984	18.54	246731
50	45207	199125	18.50	244332
51	44770	198244	18.42	243014
52	44347	194718	18.55	239065
53	43288	190819	18.49	234107
54	42460	189603	18.30	232063
55	41423	185872	18.22	227295
56	41398	181415	18.58	222813
57	40327	179550	18.34	219877
58	39763	175787	18.45	215550
59	38793	172037	18.40	210830
60	38297	171060	18.29	209357
61	37763	166769	18.46	204532
62	36579	163755	18.26	200334
63	36162	161352	18.31	197514
64	35054	158458	18.11	193512
65	34832	156613	18.19	191445
66	34126	154591	18.08	188717
67	33567	151102	18.18	184669
68	33139	148020	18.29	181159
69	32302	146826	18.03	179128
70	31736	143569	18.10	175305
71	30816	139503	18.09	170319
72	30246	137594	18.02	167840
73	30220	135584	18.23	165804
74	29218	133581	17.95	162799
75	28679	131922	17.86	160601
76	28260	128518	18.03	156778
77	27607	125525	18.03	153132
78	27265	123737	18.06	151002
79	25812	119440	17.77	145252
80	25677	117170	17.98	142847
81	24953	115827	17.72	140780
82	24325	112635	17.76	136960
83	24154	110675	17.91	134829
84	23513	108640	17.79	132153
85	23119	106565	17.83	129684
86	22819	104567	17.91	127386
87	22126	102447	17.76	124573
88	21780	99723	17.93	121503
89	20991	97692	17.69	118683
90	21018	96513	17.88	117531
91	20219	93936	17.71	114155
92	19571	91782	17.58	111353
93	19359	90491	17.62	109850
94	18762	88491	17.49	107253
95	18480	86749	17.56	105229
96	18042	85403	17.44	103445
97	17653	82835	17.57	100488
98	17622	81362	17.80	98984
99	17045	80560	17.46	97605
100	16652	78287	17.54	94939
101	16131	76638	17.39	92769
102	15858	75218	17.41	91076
103	15287	73331	17.25	88618
104	15191	71907	17.44	87098
105	14607	70596	17.14	85203
106	14442	68976	17.31	83418
107	14148	67621	17.30	81769
108	13946	65984	17.45	79930
109	13856	65088	17.55	78944
110	13662	64077	17.57	77739
111	12862	62696	17.02	75558
112	12598	60651	17.20	73249
113	12562	59455	17.44	72017
114	12157	58130	17.30	70287
115	11770	57169	17.07	68939
116	11692	55936	17.29	67628
117	11219	54670	17.03	65889
118	11119	53645	17.17	64764
119	10756	51915	17.16	62671
120	10508	51479	16.95	61987
121	10620	50054	17.50	60674
122	10231	49279	17.19	59510
123	10057	47912	17.35	57969
124	10024	47238	17.51	57262
125	9543	45362	17.38	54905
