CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	79981	161028	33.19	241009
2	85457	244943	25.86	330400
3	58992	298153	16.52	357145
4	47249	273210	14.74	320459
5	63907	283226	18.41	347133
6	42249	205244	17.07	247493
7	45037	194147	18.83	239184
8	55462	215467	20.47	270929
9	57969	211001	21.55	268970
10	53796	203886	20.88	257682
11	63075	204359	23.59	267434
12	73521	204824	26.41	278345
13	60022	209058	22.31	269080
14	55305	206176	21.15	261481
15	55988	204207	21.52	260195
16	54949	203666	21.25	258615
17	56365	206995	21.40	263360
18	54724	208630	20.78	263354
19	56244	206229	21.43	262473
20	58826	215109	21.47	273935
21	61435	218182	21.97	279617
22	60991	211940	22.35	272931
23	59338	216479	21.51	275817
24	58904	215379	21.48	274283
25	58777	212198	21.69	270975
26	58431	208262	21.91	266693
27	57670	209051	21.62	266721
28	57598	208286	21.66	265884
29	57368	210529	21.41	267897
30	57484	211023	21.41	268507
31	57709	212436	21.36	270145
32	57985	211564	21.51	269549
33	57947	211576	21.50	269523
34	58014	208436	21.77	266450
35	57731	208249	21.71	265980
36	56959	209434	21.38	266393
37	57398	207481	21.67	264879
38	56842	207330	21.52	264172
39	56209	207244	21.34	263453
40	56171	204448	21.55	260619
41	56188	202915	21.69	259103
42	55605	203275	21.48	258880
43	55282	202918	21.41	258200
44	56432	202732	21.77	259164
45	54888	201553	21.40	256441
46	54832	201004	21.43	255836
47	54303	198447	21.48	252750
48	53586	197528	21.34	251114
49	53697	195223	21.57	248920
50	53450	194167	21.59	247617
51	52190	192805	21.30	244995
52	51097	189962	21.20	241059
53	51443	188344	21.45	239787
54	50754	187255	21.32	238009
55	50266	184671	21.40	234937
56	49797	183374	21.36	233171
57	49526	182436	21.35	231962
58	49421	181522	21.40	230943
59	48627	177113	21.54	225740
60	47551	176507	21.22	224058
61	46880	172523	21.37	219403
62	46619	170810	21.44	217429
63	45677	169760	21.20	215437
64	45535	167271	21.40	212806
65	44503	164542	21.29	209045
66	44419	163826	21.33	208245
67	43890	161798	21.34	205688
68	42955	159311	21.24	202266
69	41941	155644	21.23	197585
70	41180	154140	21.08	195320
71	40888	151166	21.29	192054
72	40008	149014	21.17	189022
73	39751	146290	21.37	186041
74	39033	142962	21.45	181995
75	38045	141364	21.21	179409
76	37301	138593	21.21	175894
77	36461	135796	21.17	172257
78	35726	132872	21.19	168598
79	35115	130598	21.19	165713
80	34180	128870	20.96	163050
81	34183	125728	21.38	159911
82	33179	123627	21.16	156806
83	32496	121298	21.13	153794
84	31744	119239	21.02	150983
85	31370	116698	21.19	148068
86	30552	114426	21.07	144978
87	29977	112183	21.09	142160
88	29101	110191	20.89	139292
89	28713	108802	20.88	137515
90	28452	106690	21.05	135142
91	27459	103541	20.96	131000
92	26850	101054	20.99	127904
93	26553	98755	21.19	125308
94	25333	95972	20.88	121305
95	24844	94796	20.77	119640
96	24463	92394	20.93	116857
97	23912	90961	20.82	114873
98	23211	88265	20.82	111476
99	22914	86315	20.98	109229
100	22307	84733	20.84	107040
101	21734	82178	20.92	103912
102	21196	80296	20.88	101492
103	20580	78928	20.68	99508
104	19748	77251	20.36	96999
105	19924	75605	20.86	95529
106	19277	73169	20.85	92446
107	18802	70981	20.94	89783
108	18224	69597	20.75	87821
109	17801	68222	20.69	86023
110	17586	66763	20.85	84349
111	17188	64678	21.00	81866
112	16569	63331	20.74	79900
113	16283	61696	20.88	77979
114	15737	60599	20.62	76336
115	15316	58835	20.66	74151
116	14837	57170	20.60	72007
117	14653	56100	20.71	70753
118	14051	54801	20.41	68852
119	13695	53721	20.31	67416
120	13514	52471	20.48	65985
121	13246	50838	20.67	64084
122	12582	50079	20.08	62661
123	12534	48443	20.56	60977
124	12300	47413	20.60	59713
125	12233	46205	20.93	58438
126	11520	44668	20.50	56188
127	11238	43750	20.44	54988
128	10801	42635	20.21	53436
129	10556	41360	20.33	51916
130	10351	40517	20.35	50868
131	9976	39380	20.21	49356
132	9678	37948	20.32	47626
133	9390	37060	20.22	46450
134	9207	36476	20.15	45683
135	8818	35297	19.99	44115
136	8726	34350	20.26	43076
137	8460	33578	20.12	42038
138	8403	32723	20.43	41126
139	8120	32254	20.11	40374
140	7894	31285	20.15	39179
141	7515	30197	19.93	37712
142	7091	29592	19.33	36683
143	6991	28802	19.53	35793
144	6995	28375	19.78	35370
145	6664	27249	19.65	33913
146	6691	27240	19.72	33931
147	6338	26614	19.23	32952
148	6318	26062	19.51	32380
149	5948	24990	19.23	30938
150	5771	24103	19.32	29874

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	132163	740383	15.15	872546
2	90485	276270	24.67	366755
3	84146	390261	17.74	474407
4	42381	336130	11.20	378511
5	24535	459975	5.06	484510
6	19160	500534	3.69	519694
7	16117	381530	4.05	397647
8	17284	395558	4.19	412842
9	16891	389299	4.16	406190
10	21828	373068	5.53	394896
11	33372	367170	8.33	400542
12	15548	382659	3.90	398207
13	13759	386810	3.43	400569
14	13748	381718	3.48	395466
15	14089	376964	3.60	391053
16	15314	373044	3.94	388358
17	13274	386657	3.32	399931
18	14406	391538	3.55	405944
19	14284	387256	3.56	401540
20	14376	390594	3.55	404970
21	13640	393038	3.35	406678
22	13882	399486	3.36	413368
23	13737	394976	3.36	408713
24	13265	385892	3.32	399157
25	13244	390857	3.28	404101
26	12818	382031	3.25	394849
27	12981	384665	3.26	397646
28	12990	390499	3.22	403489
29	12410	393850	3.05	406260
30	12594	392749	3.11	405343
31	12631	393882	3.11	406513
32	12322	389639	3.07	401961
33	12492	395651	3.06	408143
34	12126	388601	3.03	400727
35	11984	384694	3.02	396678
36	11941	385382	3.01	397323
37	11690	392843	2.89	404533
38	11718	385557	2.95	397275
39	11838	386662	2.97	398500
40	11806	382218	3.00	394024
41	11674	382920	2.96	394594
42	11494	381728	2.92	393222
43	11891	383760	3.01	395651
44	11705	376371	3.02	388076
45	11948	380647	3.04	392595
46	12059	375548	3.11	387607
47	12048	371573	3.14	383621
48	11886	368225	3.13	380111
49	12295	371176	3.21	383471
50	12157	365091	3.22	377248
51	11887	361118	3.19	373005
52	11965	357647	3.24	369612
53	12022	356842	3.26	368864
54	11743	350586	3.24	362329
55	11983	351182	3.30	363165
56	12169	343839	3.42	356008
57	12119	345109	3.39	357228
58	12020	337592	3.44	349612
59	12064	333610	3.49	345674
60	12238	329335	3.58	341573
61	11642	329041	3.42	340683
62	11809	320546	3.55	332355
63	11772	318627	3.56	330399
64	11636	314972	3.56	326608
65	11748	311330	3.64	323078
66	11701	306828	3.67	318529
67	11856	304800	3.74	316656
68	11388	297394	3.69	308782
69	11431	294004	3.74	305435
70	11150	288912	3.72	300062
71	11234	283913	3.81	295147
72	11012	276924	3.82	287936
73	11024	277185	3.83	288209
74	10804	268851	3.86	279655
75	10626	264865	3.86	275491
76	10663	259234	3.95	269897
77	10377	254706	3.91	265083
78	10441	250661	4.00	261102
79	9958	246582	3.88	256540
80	10131	239313	4.06	249444
81	9753	236123	3.97	245876
82	9839	229484	4.11	239323
83	9602	225998	4.08	235600
84	9509	220595	4.13	230104
85	9404	217949	4.14	227353
86	9150	211814	4.14	220964
87	9263	209469	4.23	218732
88	8918	203762	4.19	212680
89	8676	200413	4.15	209089
90	8609	196337	4.20	204946
91	8487	192376	4.23	200863
92	8421	186808	4.31	195229
93	8275	183513	4.31	191788
94	8252	181105	4.36	189357
95	7987	173315	4.41	181302
96	7789	169504	4.39	177293
97	7771	166370	4.46	174141
98	7466	160849	4.44	168315
99	7299	158813	4.39	166112
100	7202	154692	4.45	161894
101	7038	151992	4.43	159030
102	6795	148575	4.37	155370
103	6861	143197	4.57	150058
104	6703	139306	4.59	146009
105	6504	136418	4.55	142922
106	6261	132650	4.51	138911
107	6144	129437	4.53	135581
108	6075	126694	4.58	132769
