CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	55085	203982	21.26	259067
2	55033	206024	21.08	261057
3	53539	207641	20.50	261180
4	55084	204726	21.20	259810
5	58015	212959	21.41	270974
6	60721	215877	21.95	276598
7	60521	208568	22.49	269089
8	58457	213393	21.50	271850
9	57720	211307	21.46	269027
10	57734	208060	21.72	265794
11	57493	204510	21.94	262003
12	56658	205189	21.64	261847
13	57069	205163	21.76	262232
14	56771	207588	21.47	264359
15	56761	208656	21.39	265417
16	57020	210438	21.32	267458
17	57074	208942	21.46	266016
18	57137	208890	21.48	266027
19	57230	205587	21.78	262817
20	56944	205884	21.67	262828
21	56402	206486	21.45	262888
22	56727	205389	21.64	262116
23	56125	205033	21.49	261158
24	55559	205074	21.32	260633
25	55463	202095	21.53	257558
26	55495	200948	21.64	256443
27	55075	201713	21.45	256788
28	54844	201042	21.43	255886
29	56135	201480	21.79	257615
30	54437	200316	21.37	254753
31	54469	199636	21.44	254105
32	53868	197085	21.47	250953
33	53435	196154	21.41	249589
34	53406	194550	21.54	247956
35	53193	193390	21.57	246583
36	51855	192179	21.25	244034
37	51078	189104	21.27	240182
38	51371	187673	21.49	239044
39	50563	186943	21.29	237506
40	50140	184452	21.37	234592
41	49876	183667	21.36	233543
42	49457	182878	21.29	232335
43	49282	181905	21.32	231187
44	48863	177777	21.56	226640
45	47923	176950	21.31	224873
46	47139	173632	21.35	220771
47	46853	172270	21.38	219123
48	46033	170867	21.22	216900
49	45894	168648	21.39	214542
50	44902	166316	21.26	211218
51	44961	165752	21.34	210713
52	44239	163456	21.30	207695
53	43217	161008	21.16	204225
54	42610	157727	21.27	200337
55	41721	156227	21.08	197948
56	41249	153450	21.19	194699
57	40482	151569	21.08	192051
58	40484	148788	21.39	189272
59	39414	145306	21.34	184720
60	38519	143998	21.10	182517
61	37749	141062	21.11	178811
62	36938	138278	21.08	175216
63	36345	135831	21.11	172176
64	35653	133153	21.12	168806
65	34792	131466	20.93	166258
66	34849	128740	21.30	163589
67	33668	126572	21.01	160240
68	33268	124402	21.10	157670
69	32446	122347	20.96	154793
70	32089	119516	21.17	151605
71	31252	117396	21.02	148648
72	30693	115589	20.98	146282
73	29926	113524	20.86	143450
74	29426	112132	20.79	141558
75	28997	109793	20.89	138790
76	28140	106416	20.91	134556
77	27427	104394	20.81	131821
78	27287	102302	21.06	129589
79	26176	99654	20.80	125830
80	25457	98226	20.58	123683
81	25214	95912	20.82	121126
82	24599	94406	20.67	119005
83	24102	91630	20.83	115732
84	23640	90103	20.78	113743
85	23055	88290	20.71	111345
86	22412	86035	20.67	108447
87	21936	83893	20.73	105829
88	21262	82680	20.46	103942
89	20588	80807	20.30	101395
90	20809	79063	20.84	99872
91	20007	76816	20.66	96823
92	19410	74674	20.63	94084
93	19007	73053	20.65	92060
94	18550	71870	20.52	90420
95	18384	70369	20.71	88753
96	17817	68185	20.72	86002
97	17263	67040	20.48	84303
98	17033	65280	20.69	82313
99	16470	64128	20.43	80598
100	16110	62529	20.49	78639
101	15504	60625	20.37	76129
102	15338	59557	20.48	74895
103	14829	58379	20.26	73208
104	14439	57468	20.08	71907
105	14173	56133	20.16	70306
106	13963	54358	20.44	68321
107	13316	53616	19.89	66932
108	13195	51998	20.24	65193
109	13048	50971	20.38	64019
110	12871	49797	20.54	62668
111	12117	48228	20.08	60345
112	11893	47194	20.13	59087
113	11533	46281	19.95	57814
114	11190	44703	20.02	55893
115	10983	43786	20.05	54769
116	10747	42723	20.10	53470
117	10307	41468	19.91	51775
118	10020	40548	19.81	50568
119	9945	39770	20.00	49715
120	9554	38828	19.75	48382
121	9310	37487	19.89	46797
122	9061	36931	19.70	45992
123	9049	35995	20.09	45044
124	8829	35369	19.98	44198
125	8613	34107	20.16	42720
126	8155	33042	19.80	41197
127	7836	32058	19.64	39894
128	7725	31633	19.63	39358
129	7786	31050	20.05	38836
130	7345	30068	19.63	37413
131	7431	30130	19.78	37561
132	7167	29641	19.47	36808
133	7212	29282	19.76	36494
134	6751	28193	19.32	34944
135	6519	26879	19.52	33398

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	18594	373664	4.74	392258
2	15277	387912	3.79	403189
3	14032	387286	3.50	401318
4	13821	382101	3.49	395922
5	14303	384799	3.58	399102
6	13518	384986	3.39	398504
7	14271	391147	3.52	405418
8	14346	385929	3.58	400275
9	13346	378042	3.41	391388
10	13058	381672	3.31	394730
11	12879	373052	3.34	385931
12	13486	375868	3.46	389354
13	13744	381826	3.47	395570
14	12791	385421	3.21	398212
15	13144	385810	3.29	398954
16	13195	387079	3.30	400274
17	12943	382376	3.27	395319
18	12712	388615	3.17	401327
19	12183	381900	3.09	394083
20	12128	377840	3.11	389968
21	11971	379299	3.06	391270
22	11583	386218	2.91	397801
23	11533	378609	2.96	390142
24	11697	380223	2.98	391920
25	11617	376063	3.00	387680
26	11607	376758	2.99	388365
27	11427	376563	2.95	387990
28	11800	378300	3.02	390100
29	11656	371941	3.04	383597
30	11834	376517	3.05	388351
31	11868	371135	3.10	383003
32	11909	368142	3.13	380051
33	11762	364284	3.13	376046
34	11979	366958	3.16	378937
35	11824	361178	3.17	373002
36	11558	358049	3.13	369607
37	11717	354845	3.20	366562
38	11879	353445	3.25	365324
39	11427	347892	3.18	359319
40	11804	348937	3.27	360741
41	11792	342247	3.33	354039
42	11838	343517	3.33	355355
43	11738	336625	3.37	348363
44	11882	332635	3.45	344517
45	12048	328601	3.54	340649
46	11541	329030	3.39	340571
