CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	146700	594693	19.79	741393
2	148526	611558	19.54	760084
3	145863	612375	19.24	758238
4	143730	594488	19.47	738218
5	149458	608371	19.72	757829
6	152232	616592	19.80	768824
7	150717	607126	19.89	757843
8	151013	610845	19.82	761858
9	151515	614217	19.79	765732
10	153058	610209	20.05	763267
11	152224	600964	20.21	753188
12	152846	607285	20.11	760131
13	150513	599722	20.06	750235
14	152834	600608	20.28	753442
15	151022	605764	19.96	756786
16	151693	607995	19.97	759688
17	152155	606121	20.07	758276
18	151686	605281	20.04	756967
19	152867	602544	20.24	755411
20	153113	604768	20.20	757881
21	152973	615770	19.90	768743
22	151637	600949	20.15	752586
23	152903	607820	20.10	760723
24	151416	610209	19.88	761625
25	151783	595210	20.32	746993
26	153279	598317	20.39	751596
27	152608	601332	20.24	753940
28	152319	595147	20.38	747466
29	154562	601092	20.45	755654
30	152265	596372	20.34	748637
31	150786	590034	20.35	740820
32	151505	589398	20.45	740903
33	151460	594036	20.32	745496
34	151183	588027	20.45	739210
35	150768	591120	20.32	741888
36	149310	587059	20.28	736369
37	146637	580257	20.17	726894
38	146702	573721	20.36	720423
39	145712	572965	20.28	718677
40	145001	570929	20.25	715930
41	145860	568113	20.43	713973
42	145593	569889	20.35	715482
43	142958	563733	20.23	706691
44	142982	561579	20.29	704561
45	140573	559628	20.08	700201
46	140213	548781	20.35	688994
47	140217	548188	20.37	688405
48	138631	544335	20.30	682966
49	137804	541127	20.30	678931
50	136706	539216	20.23	675922
51	136391	539647	20.18	676038
52	136422	529617	20.48	666039
53	133675	527604	20.21	661279
54	132868	525103	20.19	657971
55	130435	515401	20.20	645836
56	129764	506291	20.40	636055
57	127532	505103	20.16	632635
58	126476	494030	20.38	620506
59	125750	491388	20.38	617138
60	124153	486943	20.32	611096
61	121908	480139	20.25	602047
62	121692	474991	20.39	596683
63	119684	467798	20.37	587482
64	118440	463359	20.36	581799
65	117725	459006	20.41	576731
66	116031	454314	20.34	570345
67	114233	449016	20.28	563249
68	113578	444216	20.36	557794
69	112486	443057	20.25	555543
70	109855	431401	20.30	541256
71	108162	429572	20.11	537734
72	107451	421339	20.32	528790
73	106447	419351	20.24	525798
74	104169	412938	20.14	517107
75	103035	409060	20.12	512095
76	102048	399638	20.34	501686
77	99656	393030	20.23	492686
78	98389	389586	20.16	487975
79	95865	377652	20.25	473517
80	94201	372694	20.18	466895
81	92737	370364	20.03	463101
82	90702	362570	20.01	453272
83	89775	357781	20.06	447556
84	87745	351548	19.97	439293
85	87241	346736	20.10	433977
86	86007	343465	20.03	429472
87	84049	339416	19.85	423465
88	82118	330278	19.91	412396
89	81127	324922	19.98	406049
90	80753	321092	20.10	401845
91	78816	316605	19.93	395421
92	76898	310301	19.86	387199
93	75970	306967	19.84	382937
94	74489	302361	19.77	376850
95	74016	296947	19.95	370963
96	72491	293846	19.79	366337
97	71507	287214	19.93	358721
98	70708	282803	20.00	353511
99	68976	279412	19.80	348388
100	67509	272896	19.83	340405
101	66554	271350	19.70	337904
102	65028	267548	19.55	332576
103	63526	261468	19.55	324994
104	62603	259220	19.45	321823
105	61721	252122	19.67	313843
106	60371	248431	19.55	308802
107	60263	245073	19.74	305336
108	58739	239358	19.70	298097
109	58408	235596	19.87	294004
110	58247	233653	19.95	291900
111	55934	227505	19.73	283439
112	54570	223629	19.62	278199
113	53011	218738	19.51	271749
114	51961	213827	19.55	265788
115	51267	209591	19.65	260858
116	50162	207276	19.49	257438
117	49593	205344	19.45	254937
118	48516	199421	19.57	247937
119	47721	195537	19.62	243258
120	46511	193436	19.38	239947
121	46649	189766	19.73	236415
122	45601	187716	19.54	233317
123	44217	184793	19.31	229010
124	44406	181303	19.67	225709
125	43304	176378	19.71	219682
126	41391	171139	19.48	212530
127	40883	166362	19.73	207245
128	40103	166097	19.45	206200
129	39426	163639	19.42	203065
130	38455	160740	19.31	199195
131	38529	160816	19.33	199345
132	38075	159826	19.24	197901
133	37600	155467	19.48	193067
134	36088	152961	19.09	189049
135	35196	147202	19.30	182398

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	45042	1028011	4.20	1073053
2	34573	1067381	3.14	1101954
