CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	37596	82170	31.39	119766
2	38703	130885	22.82	169588
3	28045	158558	15.03	186603
4	22386	133597	14.35	155983
5	26141	159916	14.05	186057
6	19156	109378	14.90	128534
7	20879	102684	16.90	123563
8	25183	110683	18.54	135866
9	26957	110039	19.68	136996
10	25273	105427	19.34	130700
11	28644	107190	21.09	135834
12	31518	107286	22.71	138804
13	28897	107242	21.23	136139
14	27909	106008	20.84	133917
15	27775	105199	20.89	132974
16	28231	105313	21.14	133544
17	29360	108776	21.25	138136
18	27509	108003	20.30	135512
19	27590	105360	20.75	132950
20	29009	110047	20.86	139056
21	30556	111901	21.45	142457
22	30677	111611	21.56	142288
23	29846	112157	21.02	142003
24	29775	113162	20.83	142937
25	30576	112433	21.38	143009
26	29689	109932	21.26	139621
27	29066	109768	20.94	138834
28	29216	109222	21.10	138438
29	29313	109597	21.10	138910
30	29717	109944	21.28	139661
31	29250	110104	20.99	139354
32	29131	109763	20.97	138894
33	29385	110134	21.06	139519
34	29298	109117	21.17	138415
35	29531	109007	21.32	138538
36	29247	110854	20.88	140101
37	29350	109457	21.14	138807
38	29007	109279	20.98	138286
39	29187	109287	21.08	138474
40	29351	107594	21.43	136945
41	29483	108239	21.41	137722
42	28865	108307	21.04	137172
43	29285	108831	21.20	138116
44	30212	109114	21.68	139326
45	28973	107984	21.15	136957
46	28909	107222	21.24	136131
47	28484	106846	21.05	135330
48	28750	108077	21.01	136827
49	28574	106376	21.17	134950
50	28856	106514	21.32	135370
51	28186	106128	20.99	134314
52	27426	104221	20.83	131647
53	27553	103902	20.96	131455
54	27573	103538	21.03	131111
55	27068	102510	20.89	129578
56	27470	102236	21.18	129706
57	27662	102643	21.23	130305
58	27031	102382	20.89	129413
59	26621	101661	20.75	128282
60	26368	101077	20.69	127445
61	26617	99152	21.16	125769
62	25949	99234	20.73	125183
63	25811	98145	20.82	123956
64	25902	98318	20.85	124220
65	25822	97316	20.97	123138
66	25915	97776	20.95	123691
67	26043	97550	21.07	123593
68	25373	95957	20.91	121330
69	24775	95467	20.60	120242
70	24530	93570	20.77	118100
71	24531	92745	20.92	117276
72	24566	92541	20.98	117107
73	23613	91812	20.46	115425
74	23693	89779	20.88	113472
75	23367	89385	20.72	112752
76	23206	88436	20.79	111642
77	23006	86699	20.97	109705
78	22499	85861	20.76	108360
79	22643	85458	20.95	108101
80	21950	84904	20.54	106854
81	22049	83733	20.84	105782
82	21584	82273	20.78	103857
83	21723	82446	20.85	104169
84	21441	81051	20.92	102492
85	20574	79176	20.63	99750
86	20396	78316	20.66	98712
87	20255	78189	20.58	98444
88	19860	77850	20.33	97710
89	19606	76316	20.44	95922
90	19575	75855	20.51	95430
91	19165	74536	20.45	93701
92	18962	72599	20.71	91561
93	18620	72130	20.52	90750
94	18058	69996	20.51	88054
95	17755	69276	20.40	87031
96	17443	69072	20.16	86515
97	17122	66939	20.37	84061
98	16788	65872	20.31	82660
99	16470	65063	20.20	81533
100	16249	63766	20.31	80015
101	16045	62822	20.34	78867
102	15810	61851	20.36	77661
103	15503	61193	20.21	76696
104	15346	59588	20.48	74934
105	15101	58878	20.41	73979
106	14671	57737	20.26	72408
107	14397	56303	20.36	70700
108	14177	55635	20.31	69812
109	13810	54123	20.33	67933
110	13372	53839	19.90	67211
111	13209	52079	20.23	65288
112	12910	51395	20.08	64305
113	12864	50383	20.34	63247
114	12443	50051	19.91	62494
115	12418	48719	20.31	61137
116	12014	47997	20.02	60011
117	11708	46927	19.97	58635
118	11434	45878	19.95	57312
119	11348	44840	20.20	56188
120	11180	44238	20.17	55418
121	10788	42984	20.06	53772
122	10652	42367	20.09	53019
123	10374	41390	20.04	51764
124	10235	40611	20.13	50846
125	10132	39856	20.27	49988
126	9809	38828	20.17	48637
127	9526	38516	19.83	48042
128	9247	37004	19.99	46251
129	9098	36496	19.95	45594
130	8906	36038	19.82	44944
131	8806	34798	20.20	43604
132	8515	33906	20.07	42421
133	8283	32729	20.20	41012
134	8098	32379	20.01	40477
135	7788	31897	19.62	39685
136	7713	31226	19.81	38939
137	7649	29928	20.36	37577
138	7373	29474	20.01	36847
139	7339	29140	20.12	36479
140	6925	28842	19.36	35767
141	6815	27555	19.83	34370
142	6362	26668	19.26	33030
143	6424	26165	19.71	32589
144	6175	25625	19.42	31800
145	6102	25149	19.53	31251
146	5999	25077	19.30	31076
147	5866	24546	19.29	30412
148	5755	23903	19.40	29658
149	5499	23104	19.23	28603
150	5336	21998	19.52	27334

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	66476	470121	12.39	536597
2	34329	141028	19.58	175357
3	31084	194822	13.76	225906
4	19232	178678	9.72	197910
5	11367	244669	4.44	256036
6	9741	280833	3.35	290574
7	8155	193254	4.05	201409
8	8359	194629	4.12	202988
9	8542	196397	4.17	204939
10	8579	186756	4.39	195335
11	10881	185114	5.55	195995
12	8127	194079	4.02	202206
13	7918	196894	3.87	204812
14	7186	190608	3.63	197794
15	7456	189387	3.79	196843
16	7598	188365	3.88	195963
