CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	30456	162685	15.77	193141
2	29977	161572	15.65	191549
3	29455	165984	15.07	195439
4	29733	165299	15.25	195032
5	31732	173368	15.47	205100
6	32715	174774	15.77	207489
7	34150	175971	16.25	210121
8	32721	175956	15.68	208677
9	32546	176320	15.58	208866
10	31975	172981	15.60	204956
11	31982	169390	15.88	201372
12	31376	169318	15.63	200694
13	31340	168496	15.68	199836
14	31646	168306	15.83	199952
15	32397	172713	15.79	205110
16	31549	174865	15.28	206414
17	31409	171938	15.45	203347
18	31650	171085	15.61	202735
19	31615	171172	15.59	202787
20	31703	170753	15.66	202456
21	31042	170349	15.41	201391
22	30970	170333	15.38	201303
23	30860	169240	15.42	200100
24	30903	169038	15.46	199941
25	29940	166633	15.23	196573
26	31187	165425	15.86	196612
27	30705	166282	15.59	196987
28	30495	165623	15.55	196118
29	31722	165938	16.05	197660
30	30222	164895	15.49	195117
31	29372	161851	15.36	191223
32	29280	160322	15.44	189602
33	28828	159253	15.33	188081
34	29034	158749	15.46	187783
35	28873	156450	15.58	185323
36	28367	155735	15.41	184102
37	27787	153279	15.35	181066
38	27516	150862	15.43	178378
39	27124	151139	15.22	178263
40	27157	148011	15.50	175168
41	26697	146827	15.39	173524
42	26566	145457	15.44	172023
43	26052	144202	15.30	170254
44	25507	141587	15.27	167094
45	25128	140376	15.18	165504
46	24672	136967	15.26	161639
47	24224	135330	15.18	159554
48	23855	133740	15.14	157595
49	23904	130983	15.43	154887
50	23483	129237	15.38	152720
51	23495	128735	15.43	152230
52	23543	126652	15.67	150195
53	22401	124741	15.22	147142
54	22276	122300	15.41	144576
55	21532	119907	15.22	141439
56	21059	116938	15.26	137997
57	20719	115826	15.17	136545
58	20135	113549	15.06	133684
59	19982	110960	15.26	130942
60	19760	109277	15.31	129037
61	19110	106988	15.15	126098
62	18560	104265	15.11	122825
63	18316	101482	15.29	119798
64	17879	100029	15.16	117908
65	17432	97736	15.14	115168
66	17246	96534	15.16	113780
67	16948	94497	15.21	111445
68	16950	93160	15.39	110110
69	16318	91526	15.13	107844
70	16004	89266	15.20	105270
71	15431	86731	15.10	102162
72	15285	85474	15.17	100759
73	15117	83975	15.26	99092
74	14754	82556	15.16	97310
75	14206	81256	14.88	95462
76	13993	78616	15.11	92609
77	13693	77142	15.07	90835
78	13527	75924	15.12	89451
79	12883	72960	15.01	85843
80	12475	71115	14.92	83590
81	12279	69653	14.99	81932
82	11857	67602	14.92	79459
83	11779	66535	15.04	78314
84	11574	65203	15.07	76777
85	11131	63571	14.90	74702
86	11085	62710	15.02	73795
87	10780	61349	14.95	72129
88	10648	59663	15.14	70311
89	10262	58227	14.98	68489
90	10296	57401	15.21	67697
91	9973	55464	15.24	65437
92	9697	53813	15.27	63510
93	9074	53212	14.57	62286
94	9080	51674	14.95	60754
95	9056	50865	15.11	59921
96	8501	49697	14.61	58198
97	8499	48340	14.95	56839
98	8266	47121	14.92	55387
99	8234	46498	15.04	54732
100	8090	45259	15.16	53349
101	7683	44293	14.78	51976
102	7639	43238	15.01	50877
103	7379	42154	14.90	49533
104	7280	41365	14.97	48645
105	7026	40365	14.83	47391
106	6729	39081	14.69	45810
107	6693	38677	14.75	45370
108	6468	37257	14.79	43725
109	6584	36919	15.13	43503
110	6386	36085	15.04	42471
111	6087	35076	14.79	41163
112	5952	34477	14.72	40429
113	5783	33494	14.72	39277
114	5750	32724	14.95	38474
115	5708	31891	15.18	37599
116	5537	31744	14.85	37281
117	5280	30769	14.65	36049
118	5150	29739	14.76	34889
119	5017	29097	14.71	34114
120	4994	28618	14.86	33612
121	4908	27737	15.03	32645
122	4840	27169	15.12	32009
123	4665	26471	14.98	31136
124	4463	26000	14.65	30463
125	4443	25313	14.93	29756
126	4128	24432	14.45	28560
127	4216	23558	15.18	27774
128	3976	23166	14.65	27142
129	4127	23101	15.16	27228
130	3979	22223	15.19	26202
131	3835	22093	14.79	25928
132	3789	22135	14.62	25924
133	3740	21721	14.69	25461
134	3554	20982	14.48	24536
135	3569	19962	15.17	23531

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	5738	276518	2.03	282256
2	4545	284642	1.57	289187
3	3076	284594	1.07	287670
4	2982	285455	1.03	288437
5	2951	289050	1.01	292001
6	2859	293770	0.96	296629
7	2722	297275	0.91	299997
8	2785	292973	0.94	295758
9	2670	288784	0.92	291454
10	2728	290316	0.93	293044
11	2644	285648	0.92	288292
12	2767	285287	0.96	288054
13	2794	289460	0.96	292254
14	2935	292704	0.99	295639
15	3216	295074	1.08	298290
16	3203	295550	1.07	298753
17	2942	294172	0.99	297114
18	2957	297657	0.98	300614
19	3013	293837	1.01	296850
20	2887	291564	0.98	294451
21	2919	291012	0.99	293931
22	2860	295970	0.96	298830
23	2791	290603	0.95	293394
24	2840	294261	0.96	297101
25	2763	286209	0.96	288972
26	2975	287809	1.02	290784
27	2854	286285	0.99	289139
28	2940	287639	1.01	290579
29	3040	279844	1.07	282884
30	3105	285160	1.08	288265
31	3104	278374	1.10	281478
32	3112	276508	1.11	279620
33	3062	272870	1.11	275932
34	3202	273330	1.16	276532
35	3172	269046	1.17	272218
36	3324	267272	1.23	270596
37	3095	262430	1.17	265525
38	3307	262834	1.24	266141
39	3166	257921	1.21	261087
40	3359	257474	1.29	260833
41	3382	253089	1.32	256471
42	3448	253311	1.34	256759
43	3353	246878	1.34	250231
44	3427	243595	1.39	247022
45	3492	240985	1.43	244477
46	3480	240831	1.42	244311
47	3467	233083	1.47	236550
48	3464	230823	1.48	234287
49	3412	227129	1.48	230541
50	3372	225520	1.47	228892
51	3409	221545	1.52	224954
52	3389	221094	1.51	224483
53	3450	216202	1.57	219652
54	3476	211632	1.62	215108
55	3393	206734	1.61	210127
56	3327	202496	1.62	205823
57	3272	197392	1.63	200664
58	3364	195998	1.69	199362
59	3220	190685	1.66	193905
60	3082	188460	1.61	191542
61	3214	185464	1.70	188678
62	3181	179973	1.74	183154
63	3124	176118	1.74	179242
64	2996	173377	1.70	176373
65	2911	167979	1.70	170890
66	2971	165636	1.76	168607
67	2935	162048	1.78	164983
68	2925	157816	1.82	160741
69	2766	155208	1.75	157974
70	2826	152069	1.82	154895
71	2727	148071	1.81	150798
72	2680	145311	1.81	147991
73	2622	142686	1.80	145308
74	2545	139191	1.80	141736
75	2612	136635	1.88	139247
76	2454	132401	1.82	134855
77	2383	130178	1.80	132561
78	2425	126706	1.88	129131
79	2348	124895	1.85	127243
80	2356	120693	1.91	123049
81	2327	117632	1.94	119959
82	2284	115977	1.93	118261
83	2226	111762	1.95	113988
84	2145	110609	1.90	112754
85	2132	108156	1.93	110288
86	2061	105312	1.92	107373
87	2033	104106	1.92	106139
88	2024	100202	1.98	102226
89	1940	97412	1.95	99352
90	2003	95755	2.05	97758
91	1858	92848	1.96	94706
92	1985	90586	2.14	92571
93	1833	88482	2.03	90315
94	1812	87356	2.03	89168
95	1856	84124	2.16	85980
96	1734	83769	2.03	85503
97	1678	81867	2.01	83545
98	1673	79021	2.07	80694
99	1560	77481	1.97	79041
100	1551	74965	2.03	76516
101	1491	73472	1.99	74963
102	1499	72452	2.03	73951
103	1477	70240	2.06	71717
104	1529	68944	2.17	70473
105	1427	67287	2.08	68714
106	1376	65916	2.04	67292
107	1378	64320	2.10	65698
108	1395	62692	2.18	64087
109	1342	60811	2.16	62153
110	1307	60104	2.13	61411
111	1208	58024	2.04	59232
112	1180	57369	2.02	58549
113	1104	55830	1.94	56934
114	1215	55024	2.16	56239
115	1119	53138	2.06	54257
116	1148	52160	2.15	53308
117	1061	51132	2.03	52193
118	1082	49718	2.13	50800
119	1087	48433	2.20	49520
120	1080	47209	2.24	48289
121	1018	46446	2.14	47464
122	1018	45648	2.18	46666
123	936	44105	2.08	45041
124	1008	43291	2.28	44299
125	958	41898	2.24	42856
126	935	40705	2.25	41640
127	953	38908	2.39	39861
128	888	38156	2.27	39044
129	945	37781	2.44	38726
130	816	37415	2.13	38231
131	870	36946	2.30	37816
132	924	35978	2.50	36902
133	944	35532	2.59	36476
134	968	34017	2.77	34985
135	931	33485	2.71	34416

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	60718	1150571	5.01	1211289
2	60712	1136871	5.07	1197583
3	57187	1136406	4.79	1193593
4	62266	1127210	5.23	1189476
5	59015	1142778	4.91	1201793
6	60021	1124511	5.07	1184532
7	57883	1134952	4.85	1192835
8	61310	1135736	5.12	1197046
9	56231	1134169	4.72	1190400
10	60830	1147942	5.03	1208772
11	57599	1156559	4.74	1214158
12	59370	1163881	4.85	1223251
13	56829	1184596	4.58	1241425
14	59818	1177332	4.84	1237150
15	56731	1181954	4.58	1238685
16	58617	1165597	4.79	1224214
17	53376	1160029	4.40	1213405
18	52113	1155885	4.31	1207998
19	48627	1154629	4.04	1203256
20	50098	1148917	4.18	1199015
