Sample	Bismark_mqc-generalstats-bismark-percent_cpg_meth	Bismark_mqc-generalstats-bismark-total_c
CF01-CM01-Zygote_R1_001	17.4	40376409.0
CF01-CM02-Larvae_R1_001	18.1	592353716.0
CF02-CM02-Zygote_R1_001	20.0	176735501.0
CF03-CM03-Zygote_R1_001	20.6	277659351.0
CF03-CM04-Larvae_R1_001	17.3	517937716.0
CF03-CM05-Larvae_R1_001	19.3	568296050.0
CF04-CM04-Zygote_R1_001	19.0	334423217.0
CF05-CM02-Larvae_R1_001	17.5	787999181.0
CF05-CM05-Zygote_R1_001	21.1	414053786.0
CF06-CM01-Zygote_R1_001	21.5	328061534.0
CF06-CM02-Larvae_R1_001	24.3	296227119.0
CF07-CM02-Zygote_R1_001	18.3	211150265.0
CF08-CM03-Zygote_R1_001	19.2	194285380.0
CF08-CM04-Larvae_R1_001	17.9	6242736.0
CF08-CM05-Larvae_R1_001	14.8	6244193.0
EF01-EM01-Zygote_R1_001	24.2	319786747.0
EF02-EM02-Zygote_R1_001	15.3	343423191.0
EF03-EM03-Zygote_R1_001	21.1	183990061.0
EF03-EM04-Larvae_R1_001	21.9	511291941.0
EF03-EM05-Larvae_R1_001	20.0	542726357.0
EF04-EM04-Zygote_R1_001	17.4	97303534.0
EF04-EM05-Larvae_R1_001	17.2	741021527.0
EF05-EM01-Larvae_R1_001	18.5	435644055.0
EF05-EM05-Zygote_R1_001	13.1	53778874.0
EF05-EM06-Larvae_R1_001	19.2	829446303.0
EF06-EM01-Larvae_R1_001	17.2	740827511.0
EF06-EM02-Larvae_R1_001	20.0	536633763.0
EF06-EM06-Larvae_R1_001	20.5	117404982.0
EF07-EM01-Zygote_R1_001	15.3	136781675.0
EF07-EM03-Larvae_R1_001	17.8	555793763.0
EF08-EM03-Larvae_R1_001	18.0	639348865.0
EF08-EM04-Larvae_R1_001	19.7	484461514.0
