Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	overall_alignment_rate	paired_aligned_mate_none_halved
CF01-CM01-Zygote_stderr	10000	10000	9348	301	351	6.52	9348
CF01-CM02-Larvae_stderr	10000	10000	8238	808	954	17.62	8238
CF02-CM02-Zygote_stderr	10000	10000	9407	255	338	5.93	9407
CF03-CM03-Zygote_stderr	10000	10000				11.98	
CF03-CM04-Larvae_stderr	10000	10000	7803	939	1258	21.97	7803
CF03-CM05-Larvae_stderr	10000	10000	8366	702	932	16.34	8366
CF04-CM04-Zygote_stderr	10000	10000	8878	583	539	11.22	8878
CF05-CM02-Larvae_stderr	10000	10000				16.81	
CF05-CM05-Zygote_stderr	10000	10000	8688	614	698	13.12	8688
CF06-CM01-Zygote_stderr	10000	10000	8870	510	620	11.3	8870
CF06-CM02-Larvae_stderr	10000	10000	8903	562	535	10.97	8903
CF07-CM02-Zygote_stderr	0					5.64	
CF08-CM03-Zygote_stderr	10000	10000	9206	351	443	7.94	9206
CF08-CM04-Larvae_stderr	10000	10000	9941	24	35	0.59	9941
CF08-CM05-Larvae_stderr	10000	10000	9892	52	56	1.08	9892
EF01-EM01-Zygote_stderr	0					10.81	
