Sample	Aligned Uniquely	Aligned Ambiguously	Did Not Align
CF01-CM01-Zygote_PE_report	1284	553	8163
CF01-CM02-Larvae_PE_report	3589	1538	4873
CF02-CM02-Zygote_PE_report	1389	627	7984
CF03-CM03-Zygote_PE_report	2558	978	6464
CF03-CM04-Larvae_PE_report	4611	1879	3510
CF03-CM05-Larvae_PE_report	3397	1341	5262
CF04-CM04-Zygote_PE_report	2514	991	6495
CF05-CM02-Larvae_PE_report	3519	1495	4986
CF05-CM05-Zygote_PE_report	2528	994	6478
CF06-CM01-Zygote_PE_report	2354	967	6679
CF06-CM02-Larvae_PE_report	2270	780	6950
CF07-CM02-Zygote_PE_report	1147	475	8378
CF08-CM03-Zygote_PE_report	1885	771	7344
CF08-CM04-Larvae_PE_report	87	52	9861
CF08-CM05-Larvae_PE_report	210	71	9719
EF01-EM01-Zygote_PE_report	2194	849	6957
EF02-EM02-Zygote_PE_report	2365	1077	6558
EF03-EM03-Zygote_PE_report	1644	707	7649
EF03-EM04-Larvae_PE_report	3043	1219	5738
EF03-EM05-Larvae_PE_report	2820	1004	6176
EF04-EM04-Zygote_PE_report	863	376	8761
EF04-EM05-Larvae_PE_report	3708	1363	4929
EF05-EM01-Larvae_PE_report	2917	1169	5914
EF05-EM05-Zygote_PE_report	731	382	8887
EF05-EM06-Larvae_PE_report	3434	1081	5485
EF06-EM01-Larvae_PE_report	3403	1277	5320
EF06-EM02-Larvae_PE_report	3655	1339	5006
EF06-EM06-Larvae_PE_report	2487	863	6650
EF07-EM01-Zygote_PE_report	1084	559	8357
EF07-EM03-Larvae_PE_report	3253	1317	5430
EF08-EM03-Larvae_PE_report	3821	1623	4556
EF08-EM04-Larvae_PE_report	3602	1574	4824
