Sample	total_reads	overall_alignment_rate	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_mate_none_halved
CF01-CM01-Zygote-0-bismark	100001000010000	6.24					
CF01-CM02-Larvae-1-bismark	10000	17.95	10000	8205	804	991	8205
CF02-CM02-Zygote-2-bismark		5.93					
CF03-CM03-Zygote-3-bismark	10000	13.55	10000				
CF03-CM04-Larvae-4-bismark	36	22.76					
CF03-CM05-Larvae-5-bismark	10000	16.34	10000	8366	702	932	8366
CF04-CM04-Zygote-6-bismark	10000	10.35	10000	8965	477	558	8965
CF05-CM02-Larvae-7-bismark	10000	18.93	10000	8107	861	1032	8107
CF05-CM05-Zygote-8-bismark	10000	13.12	10000	8688	614	698	8688
CF06-CM02-Larvae-10-bismark	10000	10.97	10000	8903	562	535	8903
CF07-CM02-Zygote-11-bismark	10000	5.96					
CF08-CM03-Zygote-12-bismark	10000	7.94	10000	9206	351	443	9206
CF08-CM04-Larvae-13-bismark	10000	0.59	10000	9941	24	35	9941
CF08-CM05-Larvae-14-bismark	10000	1.08	10000	9892	52	56	9892
EF01-EM01-Zygote-15-bismark	10000	10.92	10000	8908	528	564	8908
EF02-EM02-Zygote-16-bismark	10000	13.33	10000	8667	642	691	8667
EF03-EM03-Zygote-17-bismark	10000	9.99	10000	9001	447	552	9001
EF03-EM04-Larvae-18-bismark	10000	13.52	10000	8648	600	752	8648
EF03-EM05-Larvae-19-bismark	10000	13.42	10000	8658	637	705	8658
EF04-EM04-Zygote-20-bismark	10000	4.44	10000	9556	202	242	9556
EF04-EM05-Larvae-21-bismark	10000	19.75	10000	8025	908	1067	8025
EF05-EM01-Larvae-22-bismark	10000	13.12	10000	8688	611	701	8688
EF05-EM05-Zygote-23-bismark	10000	4.33	10000	9567	187	246	9567
EF05-EM06-Larvae-24-bismark	10000	16.44	10000	8356	772	872	8356
EF06-EM01-Larvae-25-bismark	10000	15.61	10000	8439	706	855	8439
EF06-EM02-Larvae-26-bismark	10000	16.54	10000	8346	771	883	8346
EF06-EM06-Larvae-27-bismark	10000	11.66	10000	8834	578	588	8834
EF07-EM01-Zygote-28-bismark	10000	7.14	10000	9286	308	406	9286
EF07-EM03-Larvae-29-bismark	10000	16.01	10000	8399	705	896	8399
EF08-EM03-Larvae-30-bismark	10000	20.36	10000	7964	885	1151	7964
EF08-EM04-Larvae-31-bismark	10000	18.0	10000	8200	794	1006	8200
